item	site	category	subcategory	description
Smelter Demon Set	Dark Souls 2 Wiki	Armor	+	"Smelter Demon Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
    ""Armor of the Smelter Demon, a great mass of iron that was given life. High fire defense.""  ""Armor of the Smelter Demon, a great mass of iron that was given life. High fire defense. The Old Iron King was possessed of a great bounty of ore, but was incinerated by a creature that rose from the infernal depths of the earth.""
"
Mastodon Set	Dark Souls 2 Wiki	Armor	+	"Mastodon Set is an Attire or Armor in  Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
   ""Helm/Armor/Gauntlets/Leggings worn by the Primal Knights of Drangleic castle.  Their weight would normally crush a man, but the Primal Knights wear them as if they were silk, so fearsome is their brutal strength.  The King restored a forbidden, long-lost art to create these inhuman abominations.""
"
Leydia White Set	Dark Souls 2 Wiki	Armor	+	"Leydia White Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
     ""Hood/Robe/Gloves of a Leydia Pyromancer.  Leydia apostles, in their conceit, occupied the Undead Crypt and misused death.  This invoked the ire of Fenito, who branded them as transgressors.""
"
Lion Warrior Set	Dark Souls 2 Wiki	Armor	+	"Lion Warrior Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
    Red cape worn by Lion Clan warriors.  The Lion Clan are an offshoot race that have no ties to humans, and would murder anyone with the curious notion of approaching them.  The lion clansmen seem to despise their own looks, as they hate being seen.
"
Hard Leather Set	Dark Souls 2 Wiki	Armor	+	"Hard Leather Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
"
Traveling Merchant Set	Dark Souls 2 Wiki	Armor	+	"Traveling Merchant Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
  ""Hat/Coat/Gloves/Boots worn by merchants from Lanafir,""  helm adds: ""where blue represents knowledge. Wearing this increases item discovery.""  Armor adds: ""The eagle is normally a symbol of strength, but in Lanafir it symbolizes wealth.""  All: ""Lanafir is the farthest land to the south and follows a strict edict of isolationism. The rare visitor from Lanafir is always a little odd.""""    
"
Gyrm Warrior Set	Dark Souls 2 Wiki	Armor	+	"Gyrm Warrior Set is an Attire or Armor in Dark Souls 2.
     ""An old armor that is oddly comfortable. Belonged to a Gyrm Warrior. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""    
"
Knight Set	Dark Souls 2 Wiki	Armor	+	"Knight Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds. 
    ""Metal helm (armor/gauntlets/leggings) worn by Knights.  Despite the thin metal used, the grooved texture gives it added protection.  Many knights favor this/these helmet (armor/gauntlets/leggings) for its/their fine craftsmanship, and its/their like has been passed down the generations.""  Changed to:  ""Metal [armor piece] worn by knights. Standard issue for new Drangleic knights.  Knights have long trusted this [armor piece] for its excellent functionality""
"
Peasant Set	Dark Souls 2 Wiki	Armor	+	"Peasant Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
      ""Hat commonly worn by peasants. Designed to block sunlight, more fit for farming than fighting.""
""Attire/long gloves/trousers commonly worn by peasants. Normal workwear, more fit for farming than fighting.""
  
"
Archdrake Set	Dark Souls 2 Wiki	Armor	+	" Archdrake Set is an Attire or Armor in Dark Souls 2. Armor sets do not provide specific benefits, so players are free to mix and match their preferred parts to optimize their Builds.
"
