item	site	category	subcategory	description
Crucible Knot Talisman	Elden Ring Wiki	Talismans	+	"A talisman fashioned from a bony knot that embodies that aspects of various creatures.Said to have grown on the human body long ago.
Reduces damage and impact of headshots taken.
A vestige of the crucible of primordial life. Born partially of devolution,it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.
"
Clarifying Horn Charm	Elden Ring Wiki	Talismans	+	"An accoutrement worn by the ancestral followers.Raises focus.(Focus governs resistance to sleep and madness.)
Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.
"
Sacred Scorpion Charm	Elden Ring Wiki	Talismans	+	"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart with a blessed glow.
Raises holy attack power, but lowers damage negation.
"
Crimson Amber Medallion	Elden Ring Wiki	Talismans	+	"A medallion with crimson amber inlaid. Boosts maximum HP.
The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.
A primordial life energy resides inside. 
"
Blessed Dew Talisman	Elden Ring Wiki	Talismans	+	"Talisman depicting a drop of the Erdtree's sap, a blessed boon.
Gradually restores HP.
It was once thought that the blessed sap of the Erdtree would drip from its boughs forever -- but that age of plenty swiftly came to a close, and with time, the Erdtree became more an object of faith.
"
Prosthesis-Wearer Heirloom	Elden Ring Wiki	Talismans	+	"A talisman engraved with a scene from a heroic tale.
Raises dexterity.
Though born into the accursed rot, when the young girl encountered her mentor and his flowing blade, she gained wings 
of unparalleled strength.
"
Millicent's Prosthesis	Elden Ring Wiki	Talismans	+	"Part of the golden prosthesis used by Millicent.The hand is locked into a fist that once raised a sword aloft.
Boosts dexterity and raises attack power with successive attacks.
The despair of sweet betrayal transformed Millicent from a mere bud into a magnificent flower. And one day, she will be reborn - as a beautiful scarlet valkyrie.
"
Ritual Sword Talisman	Elden Ring Wiki	Talismans	+	"A talisman patterned after swords used in ritual combat held to honor the Erdtree.
Raises attack power when HP is at maximum.
The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.
"
Warrior Jar Shard	Elden Ring Wiki	Talismans	+	"Shard of a shattered warrior jar.
Boosts the attack power of skills.
Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of ancient royal warriors, perhaps.
"
Blue-Feathered Branchsword	Elden Ring Wiki	Talismans	+	"A talisman adorned with blue feathers, once used in ancient death rituals.
Raises defense when HP is low.
The heart sings when one draws close to death, and thus does one cling so tenaciously to life - to render up a death worth offering.
"
Arrow's Reach Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting three arrows.Carried by hunters of beasts.
Increases the effective range of bows.
"
Roar Medallion	Elden Ring Wiki	Talismans	+	"A bronze medallion depicting a roaring giant.Enhances roars and breath attacks.
In ancient times, the giants were mortal enemies of the Erdtree. Their bellowing roars desolated nature, triggered avalanches, and whipped up storms of flame.
"
Radagon's Scarseal	Elden Ring Wiki	Talismans	+	"An eye engraved with an Elden Rune.
Said to be the seal of King Consort Radagon.
Raises vigor, endurance, strength, and dexterity, but also increases damage taken.
These seals represent the lifelong duty of those chosen by the gods.
"
Prince of Death's Pustule	Elden Ring Wiki	Talismans	+	"A fetid pustule taken from facial flesh.Raises vitality.(Vitality governs resistance to the effects of Death.)
It is said that this pustule came from the visage of the Prince of Death, he who used to be called Godwyn. As First Dead of the demigods, it's said he's buried deep under the capital, at the Erdtree's roots.
"
Golden Scarab	Elden Ring Wiki	Talismans	+	"A talisman facsimile of a scarab, the carrier of treasures and precious things.
This golden scarab increases the amount of runes obtained from defeating enemies.
"
Cerulean Amber Medallion	Elden Ring Wiki	Talismans	+	"A medallion with cerulean amber inlaid.
Boosts maximum FP.
The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.
A primordial life energy resides inside.
"
Moon of Nokstella	Elden Ring Wiki	Talismans	+	"This legendary talisman is a treasure of Nokstella, the Eternal City.
Increases memory slots.
This talisman represents the lost black moon.The moon of Nokstella was the guide of countless stars.
"
Fire Scorpion Charm	Elden Ring Wiki	Talismans	+	"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that burns with fire.
Raises fire attack power, but lowers damage negation.
"
Assassin's Cerulean Dagger	Elden Ring Wiki	Talismans	+	"An assassin's dagger, misshapen and stained in cerulean.Critical hits restore FP.
This charm is modelled after the darkly gleaming blades used in the Night of Black Knives. Those which gave the demigods their first taste of death.
"
Hammer Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting a hammer and a knight.Enhances stamina-reducing attacks against a blocking opponent.
Hammers are highly effective against shield-bearing foes, so much so that they are known as ""knight-killers.""
"
Crepus's Vial	Elden Ring Wiki	Talismans	+	"Small mysterious bottle with a dark mist sealed within.
Eliminates all sound made by the wearer during movement.
A ritual implement used by Roundtable Hold assassins. There was a time when Tarnished who had strayed from guidance feared 
nothing more than utter silence.
"
Green Turtle Talisman	Elden Ring Wiki	Talismans	+	"A talisman in the shape of a green turtle.Raises stamina recovery speed.
Turtles are known as a nutritious ingredient, symbolic of inexhaustible power.
However, those who hold turtles to be wise creatures consider the practice of eating their meat to be barbarous.
"
Radagon's Soreseal	Elden Ring Wiki	Talismans	+	"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of King Consort Radagon.
Greatly raises vigor, endurance, strength, dexterity, but also increases damage taken by a similar measure.
Solemn duty weighs upon the one beholden; not unlike a gnawing curse from which there is no deliverance.
"
Carian Filigreed Crest	Elden Ring Wiki	Talismans	+	"A talisman adorned with the royal crest.
Lowers FP consumed by skills.
An honor said to have once been awarded to Carian knights who served as direct retainers to the kingdom's princesses. Now there is only one princess: Ranni, daughter of Rennala.
"
Curved Sword Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting a curved sword and a swordsman.Enhances guard counters.
It is said that a blind swordsman was the originator of this technique — the art of allowing one's opponent to strike so as to leave them vulnerable to a well-timed reply.
"
Companion Jar	Elden Ring Wiki	Talismans	+	"A talisman given by the jars to their friends.
Raises potency of thrown jars.
Though the jars are brought to life by human flesh and blood, they are all rather kindly folk. Perhaps they were made to be better than their innards.
"
Arsenal Charm	Elden Ring Wiki	Talismans	+	"An iron charm that resembles a mass of weaponry. Boosts maximum equipment load.
This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.
"
Dragoncrest Greatshield Talisman	Elden Ring Wiki	Talismans	+	"Legendary talisman of wrought iron depicting a massive ancient dragon.
Enormously boosts physical damage negation.
The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.
"
Crucible Scale Talisman	Elden Ring Wiki	Talismans	+	"A talisman fashioned from a scale that embodies the aspects of various creatures.
Said to have grown on the human body long ago.
Reduces damage taken from critical hits.
A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient 
times, but is now increasingly disdained as an impurity as civilization has advanced.
"
Haligdrake Talisman	Elden Ring Wiki	Talismans	+	"Talisman depicting a golden ancient dragon.Boosts holy damage negation.
The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.
"
Radagon Icon	Elden Ring Wiki	Talismans	+	"A legendary talisman depicting the Elden Lord Radagon.
Shortens the casting time of sorceries and incantations.
As the husband of Rennala of Caria, the red-haired Radagon studied sorcery, and as the husband of Queen Marika, he studied 
incantations. Thus did the hero aspire to be complete.
"
Old Lord's Talisman	Elden Ring Wiki	Talismans	+	"A legendary talisman depicting the ancient king whose seat lies at the heart of the storm beyond time.
Extends the duration of sorceries and incantations.
It is said that the ancient royal city of Farum Azula has been 
slowly crumbling since time immemorial.
"
Mottled Necklace	Elden Ring Wiki	Talismans	+	"A vividly-colored accoutrement precious to the ancestral followers.
Raises immunity, robustness, and focus.
Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.
"
Blue Dancer Charm	Elden Ring Wiki	Talismans	+	"A cloth doll depicting a dancer garbed in blue.
An ancient heirloom of some sort.
Raises attack power with lower equipment load.
The dancer in blue represents a fairy, who in legend bestowed a 
flowing sword upon a blind swordsman. Blade in hand, the
swordsman sealed away an ancient god — a god that was Rot itself.
"
Crucible Feather Talisman	Elden Ring Wiki	Talismans	+	"A talisman fashioned from feathers that embody the aspects of various creatures.Said to have grown on the human body long ago.
Improves the effectiveness of dodge rolls, but increases damage taken at all times.
A vestige of the crucible of primordial life. Born partially of devolution, it was considered a signifier of the divine in ancient times, but is now increasingly disdained as an impurity as civilization has advanced.
"
Dragoncrest Shield Talisman	Elden Ring Wiki	Talismans	+	"Wrought iron talisman depicting a trio of ancient dragons.
Boosts physical damage negation.
The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock.
And so it is that the shape of the dragon has become symbolic of all manner of protections.
"
Magic Scorpion Charm	Elden Ring Wiki	Talismans	+	"A talisman carried by assassins who strike unseen.
Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic.
Raises magic attack power, but lowers damage negation.
"
Graven-Mass Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting the first school of graven mages — a nightmare that would continue to haunt the academy.
Greatly raises potency of sorceries.
The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry. 
"
Stalwart Horn Charm	Elden Ring Wiki	Talismans	+	"An accoutrement worn by the ancestral followers. Raises robustness. (Robustness governs resistance to blood loss and frost.)
Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit. 
"
Entwining Umbilical Cord	Elden Ring Wiki	Talismans	+	"Mysterious circular object that's oddly warped.Changes the demeanour of the wearer's actions.
"
Ritual Shield Talisman	Elden Ring Wiki	Talismans	+	"A talisman patterned after shields used in ritual combat held to honor the Erdtree.
Raises defense when HP is at maximum.
The practice had died out by the age of King Consort Radagon, but remains of the arenas where ritual combat took place can still be found in every land.
"
Faithful's Canvas Talisman	Elden Ring Wiki	Talismans	+	"A talisman bearing an icon that depicts a group of masked figures.Raises potency of incantations.
The figures represent the flock at prayer, their firm belief in the intangible inspiring even the solitary founder of their religion.
What is faith if not an affirmation?
"
Two Fingers Heirloom	Elden Ring Wiki	Talismans	+	"A talisman engraved with the legend of the Two Fingers.Raises faith.
Fingers cannot speak, yet these are eloquent.Persistently they wriggle, spelling out mysteries in the air.Thus did we gain the words. The words of our faith.
"
Prince of Death's Cyst	Elden Ring Wiki	Talismans	+	"A fetid, overgrown cyst taken from facial flesh.
Greatly raises vitality.
(Vitality governs resistance to the effects of Death.)
It is said that this cyst came from the corrupted visage of one unable to die a true Death. Indeed, it comes from the Prince of Death, scion of the golden bough and First of the Dead among the demigods.
"
Longtail Cat Talisman	Elden Ring Wiki	Talismans	+	"A brooch depicting Lacrima, the long-tailed cat.
Renders the wearer immune to fall damage.
However, it cannot prevent falling to one's death.
Lacrima features in the fables of Raya Lucaria, in which she is 
described as a faerie cat who was fond of playing in the great bell tower.
"
Lightning Scorpion Charm	Elden Ring Wiki	Talismans	+	"A talisman carried by assassins who strike unseen.Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that sparks with lightning.
Raises lightning attack power, but lowers damage negation.
"
Sacrificial Twig	Elden Ring Wiki	Talismans	+	"A talisman fashioned from a dried twig, so slender that it might snap at the slightest touch.
Prevent rune loss upon death, but will be lost itself in exchange.
Believed to be a twig pruned from the Erdtree long, long ago.
"
Erdtree's Favor	Elden Ring Wiki	Talismans	+	"A talisman depicting a special blessing of the Erdtree.
Slightly raises maximum HP, stamina, and equip load.
It is said that when the Age of the Erdtree began, such blessings 
were personally bestowed upon their recipients by Queen Marika 
herself.
"
Arrow's Sting Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting three iron arrows.
Carried by soldiers long ago.
Raises attack power of arrows and bolts.
"
Rotten Winged Sword Insignia	Elden Ring Wiki	Talismans	+	"A talisman depicting a raised prosthetic blade. An honor bestowed upon the valkyries who serve the goddess of rot. 
Greatly raises attack power with successive attacks.
The Four sister were born in the swamp of Aeonia, and came to the Haligtree under the aegis of Gowry. And yet, those buds were doomed to never blossom.
"
Godfrey Icon	Elden Ring Wiki	Talismans	+	"A legendary talisman depicting the Elden Lord Godfrey.
Raises charge attack power of sorceries, incantations, and skills.
Godfrey was a ferocious warrior. When he vowed to become a lord, he took the Beast Regent Serosh upon on his back to suppress the ceaseless lust for battle that raged within.
"
Primal Glintstone Blade	Elden Ring Wiki	Talismans	+	"An old glintstone blade that has been stained with blood.
Reduces FP consumption of sorceries and incantations at the cost of maximum HP.
The old sorcerers would slice open their hearts with these blades to imbue a primal glintstone with their soul, and thus did they die.
"
Host's Trick-Mirror	Elden Ring Wiki	Items	Key Items	"A small, clouded mirror that reflects a flesh-and-blood figure.
Makes the bearer take on the appearance of a summoned cooperator.
One of the ritual implements created by the Tarnished to deceive invaders.
"
Boltdrake Talisman	Elden Ring Wiki	Talismans	+	"Talisman depicting a yellow ancient dragon.Boosts lightning damage negation.
The ancient dragons, who ruled before the prehistoric era of the Erdtree, would protect their lord as a wall of living rock.And so it is that the shape of the dragon has become symbolic of all manner of protections.
"
Marika's Scarseal	Elden Ring Wiki	Talismans	+	"An eye engraved with an Elden Rune.Said to be the seal of Queen Marika.
Raises mind, intelligence, faith, arcane, but also increases damage taken.
These seals represent the lifelong duty of those chosen by the gods.
"
Perfumer's Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting a set of perfume bottles.
Raises potency of perfume items.
There are gardens known only to the perfumers. Whether hidden on the fringes of the highlands, or obscured by shadows inside caves, the flowers blossom in secret, waiting to impart their scent.
"
Starscourge Heirloom	Elden Ring Wiki	Talismans	+	"A talisman engraved with a scene from a heroic tale.
Raises strength.
The mightiest hero of the demigods confronted the falling stars alone—and thus did he crush them, his conquest sealing the very fate of the stars.
"
Spear Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting a spear and a soldier.
 Enhances the counterattacks that are unique to thrusting weapons.
Spears are standard weapons for soldiers in the Lands Between. 
They made it possible to respond to a ferocious foe with an equally ferocious counterattack.
"
Kindred of Rot's Exultation	Elden Ring Wiki	Talismans	+	"A talisman depicting the exultation of pests.
Raises attack power when poisoning or rot occurs in the vicinity.
""Rot for the scarlet goddess. O scarlet blossoms, flourish in distant lands, and return to us, the unwanted children.""
"
Dagger Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting a dagger and a surgeon.
Enhances critical hits.
The white-garbed field surgeons come to the aid of friend and foe alike by dealing a final deadly thrust to spare them from the prolonged agony of a mortal wound. A sense of mercy is a catalyst for bloodlust.
"
Viridian Amber Medallion	Elden Ring Wiki	Talismans	+	"A medallion with viridian amber inlaid. Boosts maximum stamina.
The Erdtree's old sap becomes amber, treasured as the most precious of jewels in the age of Godfrey, the first Elden Lord.
A primordial life energy resides inside. 
I see you, Tarnished..."" 
"
Stargazer Heirloom	Elden Ring Wiki	Talismans	+	"A talisman engraved with the legend of a queen.
Raises intelligence.
The young astrologer gazed at the night sky as she walked. She had always chased the stars every step of her journey. Then she 
met the full moon — and, in time, the astrologer became a queen.
"
Greatshield Talisman	Elden Ring Wiki	Talismans	+	"Talisman depicting a knight holding a greatshield.
Boosts guarding ability.
The knights of Leyndell once modelled themselves after the Tree Sentinels. Their purpose is to protect that which deserves protection, and thus the shield always comes before the sword.
"
Bull-Goat's Talisman	Elden Ring Wiki	Talismans	+	"A talisman depicting the horns of a bull-goat.Raises poise.
Bull-goats are associated with the stout and mighty Tragoth, said to be unflinching in combat - now a silent comrade to those who fight.
"
Immunizing Horn Charm	Elden Ring Wiki	Talismans	+	"An accountrement worn by the ancestral followers.Raises immunity.(Immunity governs resistance to poison and rot.)
Said to be a budding horn. The ancestral followers believed that the horns of a long-lived beast continue to bud like antlers , over and over again, until the beast one day becomes an ancestral spirit.
"
Silver Scarab	Elden Ring Wiki	Talismans	+	"A talisman facsimile of a scarab, the carrier of treasures and precious things.
This silver scarab enhances item discovery.
"
Shard of Alexander	Elden Ring Wiki	Talismans	+	"Shard of the late Alexander, a shattered warrior jar.
Greatly boosts the attack power of skills.
Scraps of stewed flesh cling to the shard, and tatters of ornaments can be seen mingled within the slime. Relics of a red-haired champion, it would seem.
"
