item	site	category	subcategory	description
Cell Key	Dark Souls 3 Wiki	Items	Key Items	"
Key to a cell holding thieves and the like.
There is no shortage of brash thieves in Lothric and these particular thieves likely scaled the wall from the Undead Settlement.
But they are only willing to practice their thievery on the High Wall, for their fear of Lothric Castle, rumored to devour men, keeps them clear of its grounds.
"
Black Firebomb	Dark Souls 3 Wiki	Items	Projectiles	"
More powerful bisque urn filled with special black powder. Explodes, inflicting great fire damage.Fire damage, which differs from physical damage, is highly effective against creatures of flesh, beasts, and other foes that might naturally have cause to fear the flame.
"
Twinkling Dragon Torso Stone	Dark Souls 3 Wiki	Items	Tools	"
Stone imbued with the power of the everlasting dragons, offered to a towering dragon. This stone shows signs of a nascent light.Gain the torso of a dragon and roar alongside an archdragon mirage. The transformation is irreversible until death.Yet true imitation will require a dragon head, as well.
"
Soul of the Lords	Dark Souls 3 Wiki	Items	Boss Souls	"
Soul of the Lords.One of the twisted souls, steeped in strength.
Use to acquire numerous souls, or transpose to extract its true strength.
Since Lord Gwyn, the first Lord of Cinder, many exalted lords have linked the First Flame, and it is their very souls that have manifested themselves as defender of the flame.
"
Divine Spear Fragment	Dark Souls 3 Wiki	Items	Consumables	"
Online play item.A fragment of the matching ritual spears once held by the knights of Princess Filianore.
These Divine Spears of gold were placed in the trusted hands of exalted Spears.
When Spears of the Church face unduly treacherous foes, this allows them to draw upon former majesty, and summon a row of upward-thrusting ritual spears.
"
Rope Black Firebomb	Dark Souls 3 Wiki	Items	Projectiles	"
Black bisque urn attached to a string and filled with black powder. Thrown behind and explodes, inflicting fire damage.No different to a black firebomb, save for the direction in which it is thrown. Enables a different fighting style, and flexibility in adjusting to one’s circumstances.
"
Gold Pine Resin	Dark Souls 3 Wiki	Items	Consumables	"
Rare pine resin which emits golden sparks.Chunks of it are even rarer.Temporarily applies lightning to right-hand weapon.Its origins are unknown although some have speculated that it may in fact be a type of fungal resin.
"
Sword of Avowal	Dark Souls 3 Wiki	Items	Key Items	"
Ceremonial sword of Londor. Cannot be equipped as a weapon.It is said that a rite of wedlock will presage a true Hollow lord.Your spouse's name is Anri, who patiently awaits a rightful lord, deep within the mausoleum.
"
Stalk Dung Pie	Dark Souls 3 Wiki	Items	Projectiles	"
Dried fecal waste material, marked by a long plant stalk that was not properly digested.Throw behind at enemies to inflict toxin build-up, but also ups your own toxicity. Strictly speaking, this consists of different material than the dung pie, but waste is waste, no sense in splitting hairs.
"
Duel Charm	Dark Souls 3 Wiki	Items	Consumables	"
Tool used in duels of judgement. Nulls effects of special area effects for a short time.Allfather Lloyd's knights lived in fear of his duels of judgement, in which verdicts were carried out by his Sword of Law.
"
