item	site	category	subcategory	description
Turtle Neck Meat	Elden Ring Wiki	Items	Materials	"A splendid, lengthy cut of turtle neck meat. Material used for crafting items. Turtle meat is said to boost virility, but none in the Lands Between seem to have much appetite for it these days. In Lands Between, the urge to reproduce has waned long ago.
"
Ritual Pot	Elden Ring Wiki	Items	Key Items	"This empty pot somehow mends itself when broken. Special item with greater durability than a cracked pot. 
Essential vessel for crafting ritual pot items. 
The materials and magics sealed within deploy their effects when the pot is thrown.
"
Remembrance of the Omen King	Elden Ring Wiki	Items	Rememberances	"Remembrance of Morgott, the Omen King, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes.
Though born one of the graceless Omen, Morgott took it upon himself to become the Erdtree's protector. He loved not in return, for he was never loved, but nevertheless, love it he did.
"
Miranda Powder	Elden Ring Wiki	Items	Materials	"Pollen from a man-eating miranda flower.Material used for crafting items.
Throughout history, perfumers have prized this extremely fragrant form of miranda pollen, not yet scattered into the air.
"
Amber Starlight	Elden Ring Wiki	Items	Key Items	"An ephemeral sliver that gives off a pale amber glow.
What remains of a passing flash of starlight.
If the stars command our fates, then amber-hued stars must command the fates of the gods. Such is the belief that inspired the use of these shards to prepare a most special draught.
Cannot be consumed by mere humans.
"
Rot Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Decorated with the crest of scarlet wings. Throw at enemies to cause buildup of scarlet rot. The rot bubbles up from the Swamp of Aeonia, and eats away at life like a vicious plague. 
"
Sliver of Meat	Elden Ring Wiki	Items	Materials	"A slice of thinly carved beast flesh.Material used for crating items.Found by hunting herbivorous beast.The dried meat toughens the constitution.
"
Melted Mushroom	Elden Ring Wiki	Items	Materials	"A mushroom that grows in the false night in and around the Eternal City.Material used for crafting items.
It drips with a viscous fluid that behaves much like oil.
"
Drawing-Room Key	Elden Ring Wiki	Items	Key Items	"Key to Volcano Manor's drawing room.
The door can be found in the westward corridor, upon the left hand side.
"
Perfume Bottle	Elden Ring Wiki	Items	Key Items	"Glass bottles used by perfumers. Used to seal various scent compounds.
Essential vessel for crafting perfume items.
The art of perfuming was once jealously guarded in the capital, but after the perfumers were drafted into service during the Shattering, the art became widely practiced throughout the Lands Between.
"
Volcano Manor Invitation	Elden Ring Wiki	Items	Key Items	"Letter given by Rya as thanks for retrieving her necklace.
 Contains an invitation to Volcano Manor.
""Brave Tarnished,
 Seek the Altus Plateau in the realm of the Erdtree.
 Prove yourself by making this journey, and the Volcano Manor will fully extend its invitation. To fight, amongst a family of champions.""
"
Torches	Elden Ring Wiki	Weapons	+	"Weapon Range Data for Torches in Elden Ring. Credits to user Kaj.
"
Holy Water Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. Enchanted by incantations of the Golden Order.
Consumes FP. Throw at enemy to inflict holy damage.
Highly effective against Those Who Live in Death, even preventing them from rising again.The Golden Order has no mercy for those who trespass beyond life's bounds.
"
Bloodboil Aromatic	Elden Ring Wiki	Items	Consumables	"Forbidden art of depraved perfumers. Craftable with a perfume bottle.
Uses FP to enter a temporary state of fervor, raising maximum attack power and stamina while also increasing damage received.
""Even upon the battlefield, do you fear being wounded? Take a good look. Your limbs are frozen stiff."" 
"
Budding Horn	Elden Ring Wiki	Items	Materials	"A rarely-seen specimen of a young, budding horn.Material used for crafting items.Found by hunting herbivorous beasts.
This horn began to sprout on a beast that typically bears no horn. Perhaps it's a vestige of the primordial crucible.
"
Fulgurbloom	Elden Ring Wiki	Items	Materials	"Yellow flower that grows in lightning-struck lands.Material used for crafting items.Imbued with traces of lightning's essence.
"
Dappled Cured Meat	Elden Ring Wiki	Items	Consumables	"Cured strip of meat, dried out after pickling in a dappled medicinal solution.Craftable item.
Temporarily boosts immunity, robustness, and focus.
"
Eye of Yelough	Elden Ring Wiki	Items	Materials	"A shrub fruit bursting with ripened pulp.Material used for crafting items.
Grown in lands afflicted by frenzy, it's used for its pain-relieving properties... Though it's also known to be a dangerous intoxicant.
"
Human Bone Shard	Elden Ring Wiki	Items	Materials	"Fragment of bone with dun mottling.Material used for crafting items.Found by hunting Those Who Live in Death.
Lamentably brittle, it crumbles at the lightest caress.
"
Boiled Prawn	Elden Ring Wiki	Items	Consumables	"Boiled prawn meat.A prime specimen of plump and moist meat.True connoisseurs know how to keep from over-salting.
Boosts physical damage negation for a certain duration,
The meat actually looks to have come from a crayfish. Not that it matters, it's delicious all the same.
"
Black Whetblade	Elden Ring Wiki	Items	Whetblades	"Black whetblade with a cipher engraved. Can be used as a whetstone knife.
When applying an affinity using physical or occult-type ashes of war, an additional affinity of poison, blood, or occult can be chosen.
"
Rowa Fruit	Elden Ring Wiki	Items	Materials	"Berry-like red fruits that grow in shrubs.Material used for crafting items.Easily found everywhere in the Lands Between, it is primarily used in preserved foods.
"
Remembrance of the Grafted	Elden Ring Wiki	Items	Rememberances	"Remembrance of Godrick, the Grafted, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.
 Alternatively, it can be used to gain a great bounty of runes.
A feeble man sought power through the grotesque act of grafting. ""One day we'll return together, to our home, bathed in rays of gold.""
"
Cursemark of Death	Elden Ring Wiki	Items	Key Items	"Cursemark carved into the discarded flesh of Ranni the Witch. Also known as the half-wheel wound of the centipede.
This cursemark was carved at the moment of Death of the first demigod, and should have taken the shape of a circle.
However, two demigods perished at the same time, breaking the cursemark into two half-wheels.
Ranni was the first of the demigods whose flesh perished, while the Prince of Death perished in soul alone.
"
Crystal Bud	Elden Ring Wiki	Items	Materials	"A young plant, crystalized before it could mature.Material used for crafting items. 
Widely found in Liurnia Lake.
"
Flight Pinion	Elden Ring Wiki	Items	Materials	"Flight feather of a bird of prey.Material used for crafting items.Commonly used for arrow fletchings.
"
Aeonian Butterfly	Elden Ring Wiki	Items	Materials	"A butterfly with withered, scarlet wings found in the swamp of Aeonia.Material used for crafting items.
According to myth, these butterflies were once the wings of the Goddess of Rot herself.
"
Tailoring Tools	Elden Ring Wiki	Items	Key Items	"A portable set of tailoring tools.
Enables armor alterations at sites of grace.
"
Cursed-Blood Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Decorated with the crest of the Lord of Blood. 
Throw at enemies to douse them in accursed blood, causing summoned spirits to assail them with a rabid fervor. 
A childhood memory of the Lord of Blood.
"
Glintstone Firefly	Elden Ring Wiki	Items	Materials	"A firefly whose glowing tail has hardened into glintstone, widely found in Liurnia Lake.Material used for crafting items.
Alas, now that its tail is glintstone, it can no longer beguile potential mates.
"
Miniature Ranni	Elden Ring Wiki	Items	Key Items	"A doll resembling Ranni the Witch.
From head to toe every detail is perfect.
This unresponsive doll seems pleasantly cool.
"
Soft Cotton	Elden Ring Wiki	Items	Consumables	"A soft but sturdy cotton formed from splitting open Rowa fruit in a particular manner. Craftable item.
Attaching this cotton to the bottom of one's feet allows for a temporary reduction in fall damage and sound.
If you must court danger, at the very least, tread lightly.
"
Sacred Order Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot.Enchanted by incantations of the Golden Order. Consumes FP. Throw at enemies to inflict heavy holy damage. Highly effective against Those Who Live in Death, even preventing them from rising again. The Golden Order has no mercy for those who trespass beyond life's bounds. 
"
The Stormhawk King	Elden Ring Wiki	Items	Key Items	"Ashes of a hawk revered by all others as sovereign back in the days when Stormveil's winds still raged like no other.
This ancient monarch is proud however, refusing to answer anyone's summons. 
"
Rold Medallion	Elden Ring Wiki	Items	Key Items	"Conjoined split medallion depicting the Flame Peak.
Brandishing the medallion activates the Grand Lift of Rold, connecting Leyndell to the Mountaintops of the Giants.
The forge of the flame of ruin is said to be found upon their peaks, and it is here Melina wishes to travel in resuming your journey together. 
"
Whetstone Knife	Elden Ring Wiki	Items	Whetblades	"Whetstone with a cipher inscription, made to look like a small knifeblade.
Allows the use of ashes of war at a site of grace to bestow new battle arts and affinities to armaments as skills.
The battle arts and affinities will depend on the ashes of war used.
"
Raw Meat Dumpling	Elden Ring Wiki	Items	Consumables	"A pungent raw meatball, made succulent by virtue of being on the verge of turning.
Restores HP but also poisons the user.
Not recommended for those who prefer to know the origin of their meats.
"
Immunizing Cured Meat	Elden Ring Wiki	Items	Consumables	"Cured strip of meat, dried out after pickling in a green medicinal solution.
 Craftable item.
Temporarily boosts immunity.
Higher immunity helps to mitigate the buildup of various poisons and scarlet rot.
"
Golden Tailoring Tools	Elden Ring Wiki	Items	Key Items	"Tailoring tools made from gold. Tools brought with the red-haired Radagon when he married into the Carian line.
With these, even demigod attire can be altered at a site of grace.
"
Smoldering Butterfly	Elden Ring Wiki	Items	Materials	"An eternally burning butterfly found near wildfires and elsewhere.Material used for crafting items.Serves as the kindling for a number of items.
"
Ancient Dragonbolt Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Engraved with the crest of the ancient dragon.  Throw at enemies to inflict heavy lightning damage.  Allows one to wield ancient drake lightning regardless of faith. The residual power of relics is a purely natural phenomenon.
"
Cuckoo Glintstone	Elden Ring Wiki	Items	Consumables	"Lump of broken glintstone enwreathed with magic power. A ""faux sorcery"" used by the Knights of the Cuckoo. Craftable item.Launched straight ahead, using FP. A magic bolt springs forth from the point of impact.  
"
Sewing Needle	Elden Ring Wiki	Items	Key Items	"A large sewing needle, curved like a fang.Boc the demi-human's prized possession.
"
Dewkissed Herba	Elden Ring Wiki	Items	Materials	"A herb that grows in the false night in and around the Eternal City.Material used for crafting items.
Soaked in arcane dew, it gives off the faint glow of starlight.
"
Lump of Flesh	Elden Ring Wiki	Items	Materials	"A lump of beast flesh filled with rich juices.Material used for crafting items.Found by hunting carnivorous beast.Meat suitable for a rustic feast.
"
Starlight Shards	Elden Ring Wiki	Items	Consumables	"An ephemeral sliver that gives off a pale blue glow. What remains of a passing flash of starlight.
Use to gradually recover FP.
A prized item that was once used in the Eternal City as an ingredient in intoxicating draughts.
"
Blood Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of blood-red materials. Craftable item. 
Coats armament, inflicting blood loss. The effect lasts only for a short time.
"
Kukri	Elden Ring Wiki	Items	Consumables	"A large knife used for throwing. Its curved blade is sharp enough to slice flesh cleanly.
Throw at enemies to inflict damage and build up onset of blood loss.
This heavy throwing weapon is unsuitable for swift attacks, but is able to inflict heavy damage.
"
Iji's Confession	Elden Ring Wiki	Items	Key Items	"A letter of confession found on Iji's corpse.
He declares his own guilt for having sealed away Blaidd.
"
Chrysalids' Memento	Elden Ring Wiki	Items	Key Items	"Memento left by the chrysalids sacrificed for grafting. A brooch wrapped in red velvet. Traces of blood are visible.
Faintly visible spirits try to convey something, but their voices cannot be heard.
"
Rimed Rowa	Elden Ring Wiki	Items	Materials	"A berry-like fruit, thought to be the original strain of Rowa.Material used for crafting items.Found in frigid highlands.
This hardy species takes root even when frozen solid.
"
Old Fang	Elden Ring Wiki	Items	Materials	"A rarely-seen specimen of beast fang.
 Material used for crafting items.
 Found by hunting carnivorous beasts.
 These multiple, overlapping fangs grow from a single root. Perhaps they're a vestige of the primordial crucible.
"
Regal Omen Bairn	Elden Ring Wiki	Items	Consumables	"Doll of a curseborn bairn from the Erdtree's royal line. 
Uses FP to unleash many wraiths that chase down foes.
Omen babies born of royalty do not have their horns excised, but instead are kept underground, unbeknownst to anyone, imprisoned for eternity. 
These memorial fetishes are fashioned in secret.
"
Mushroom	Elden Ring Wiki	Items	Materials	"A fungal growth that thrives in damp thickets and elsewhere.Material used for crafting items.Its thick, spongy flesh makes it a key component in throwing pots.
"
Frenzyflame Stone	Elden Ring Wiki	Items	Consumables	"Ruin Fragment blessed with an incantation of the Three Fingers.Craftable item.
Uses FP to generate warmth, continuously restoring the HP of those who host the frenzied flame.
Confers madness upon those who have not adopted the flame.Take care not to mistake this for its gentler cousin.
"
Herba	Elden Ring Wiki	Items	Materials	"Evergreen leaves that give off a faint light.Material used for crafting items.This very common medicinal plant can be found in thickets and elsewhere.
"
Swarm Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot.A cocktail of effluents is sealed inside.Craftable item prepared using a cracked pot.A cocktail of effluents is sealed inside.The maggots found in waste feed on blood and turn into vicious flies that are pitiably short-lived.
"
Lost Ashes of War	Elden Ring Wiki	Ashes of War	+	"Empty ashes of war, devoid of any memories of battle.
Unable to apply any kind of affinity in their current state, but can be used by Smithing Master Hewg of the Roundtable Hold to recreate other ashes.
Thus does the copy pass into becoming the genuine article.
"
Miquella's Lily	Elden Ring Wiki	Items	Materials	"A delicate water lily of unalloyed gold that has started to fade and wilt.Material used for crafting items.Exeedingly rare to find.
A flower signifying faith in the Haligtree.Thought to be beloved by the Empyrean Miquella in his youth.
"
Albinauric Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Enchanted by sorceries of the Cuckoos.
Consumes FP. Throw at enemies to impede recovery actions using a flask of tears for a certain duration.
The Knights of the Cuckoos do declare. Behold, thy defiled blood. Unlike any humor that flows in our grand realm.
"
Seluvis's Potion	Elden Ring Wiki	Items	Key Items	"Small flask received from Preceptor Seluvis containing a cloudy tonic of bluish black.
""Find Nepheli, and ensure she drinks it.""
"
Dappled White Cured Meat	Elden Ring Wiki	Items	Consumables	"A white sliced meat, dried out after pickling in a dappled medicinal solution.Craftable item.
Temporarily boosts immunity, robustness, and focus.
Lasts longer than traditional cured meat, but with reduced effectiveness.
"
Boiled Crab	Elden Ring Wiki	Items	Consumables	"Boiled crab meat.A prime specimen of plump and moist meat.True connoisseurs know how to keep from over-salting.
Greatly boosts physical damage negation for a certain duration,
Unlike the ""prawn"" sold, this truly is crab. Not that it matters, it's delicious all the same.
"
Ruin Fragment	Elden Ring Wiki	Items	Materials	"Stone fragment found near places where ruins have fallen from the sky. Can be used for crafting, or simply for throwing at enemies. These shards of stone are believed to have once been part of a temple in the sky. They glow with a faint light from within.
"
Weathered Dagger	Elden Ring Wiki	Items	Key Items	"Dagger received from Fia, the Deathbed Companion.
She wishes for it to be returned to its rightful owner.
It was once a special weapon of gold and silver intertwined, but is now worn down and marred by a black gash.
"
Remembrance of the Blood Lord	Elden Ring Wiki	Items	Remembrance	"Remembrance of Mohg, Lord of Blood, hewn into the Erdtree.
The power of its namesake can be unlocked by the Finger Reader.Alternatively, it can be used to gain a great bounty of runes.
Wishing to raise Miquella to full godhood, Mohg wished to become his consort, taking the role of monarch. But no matter how much of his bloody bedchamber he tried to share, he received no response from the young Empyrean.
"
Scriptstone	Elden Ring Wiki	Items	Consumables	"Ruin Fragment with a cipher inscription. Craftable item.
Uses FP to reveal more messages from other worlds.
Words are gregarious things, drawn to one another much as people are.
"
Fire Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of incendiary materials. Craftable item. 
Coats armament, adding fire damage to attacks. The effect lasts only for a short time.
"
Silver Tear Husk	Elden Ring Wiki	Items	Materials	"A hardened husk shed by a formless life form known as the Silver Tear, found in and around the Eternal City. Material used for crafting items.  The Silver Tear makes mockery of life, reborn again and again into imitation. Perhaps, one day, it will be reborn a lord...
"
Rune Arc	Elden Ring Wiki	Items	Consumables	"A shard of the shattered Elden Ring.
Grants the blessing of an equipped Great Rune upon use.
Even if no Great Rune is equipped, it will slightly increase maximum HP upon use.
The lower arc of the Elden Ring is held to be the basin in which its blessings pool. Perhaps this shard originates from that very arc.
"
Dragonwound Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of gravels stones. Craftable item.
Coats armament, granting anti-dragon effects.This effect lasts only for a short time.
When the dragons were born from their ancient kin, they lost their stone scales, which can now be used to cause them mortal harm.
"
Poisoned Stone	Elden Ring Wiki	Items	Consumables	"A small stone with a poisoned core.
Throw at enemies to cause buildup of poison.
Miners employ these stones as tools for pest extermination, but have long forgotten how to craft them.
"
Budding Cave Moss	Elden Ring Wiki	Items	Materials	"Faintly luminescent moss that grows in dark caves, speckled with tiny, yellow flowers.Material used for crafting items.
It is primarily used in perfumes.
"
Academy Glintstone Key	Elden Ring Wiki	Items	Key Items	"Key to the seals binding both gates to the Academy of Raya Lucaria.
Activates warp magic bound within the seals.
A glintstone key will remember its user, meaning once used it can never be passed on to another. The academy does not welcome the indolent.
"
Gravity Stone Chunk	Elden Ring Wiki	Items	Consumables	"Shard of rock found in the wake of a meteorite strike.
It is imbued with a particularly weighty magic.
Throw at enemies, using FP to cause a gravitational explosion.
The desperate ones who scavenge for these shards dub themselves ""starcallers.""
"
Gold Sewing Needle	Elden Ring Wiki	Items	Key Items	"Sewing needle made of gold. Unique item made to alter demigod attire.  One of the tools brought by Radagon when he entered into marriage with Rennala, Queen of the Full Moon, and joined the Carian line.
"
Giantsflame Fire Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a ritual pot. Enchanted by incantations of the Giants' Flame.  Consumes FP. Throw at enemies to inflict heavy fire damage.  Damage scales with faith. 
"
Oil Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. A cocktail of oil-infused materials is sealed inside. Throw at enemies to soak them in oil, making them heavily susceptible to fire damage.
"
Nascent Butterfly	Elden Ring Wiki	Items	Materials	"An arcane butterfly with translucent wings.Material used for crafting items.Exceedingly rare to find.
This butterfly appears as if it's just emerged from its cocoon for its entire life.
"
Mending Rune of the Fell Curse	Elden Ring Wiki	Items	Great Runes	"Loathsome rune gestated by the Dung Eater.
Used to restore the fractured Elden Ring when brandished by the Elden Lord.
The reviled curse will last eternally, and the world's children, grandchildren, and every generation hence, will be its pustules.
If Order is defiled entirely, defilement is defilement no more, and for every curse, a cursed blessing.
"
Fire Pot	Elden Ring Wiki	Items	Consumables	"Craftable item prepared using a cracked pot. A cocktail of incendiary materials is sealed inside.  Throw at enemies to inflict fire damage.
"
Tonic of Forgetfulness	Elden Ring Wiki	Items	Key Items	"Tonic in a small brass vial.
Banishes distress and bitter memories.
 A gift bestowed by Rykard, sworn to blasphemy, to Lady Tanith, who unfortunately had no use for it. ""My Lord, there could be no greater distress than to forget you.""
"
Mohg's Shackle	Elden Ring Wiki	Items	Consumables	"A fetish bathed in golden magic.
Shackles were used to bind the accursed people called the Omen, 
and these ones were made to keep a particular Omen under 
strictest confinement.
Though faint, the shackles still retain vestiges of power — enough 
to trap the once-bound Mohg on earth, if only for a short time.
"
Rykard's Great Rune	Elden Ring Wiki	Items	Great Runes	"A Great Rune of the shardbearer Rykard. Its blessing restores HP on attacking enemies.
Rykard was amongst the children of Rennala and Radagon, who became demigod stepchildren after Radagon's union with Queen Marika.
But Rykard fed himself to the blasphemous serpent, Great Rune and all. 
"
Letter to Bernahl	Elden Ring Wiki	Items	Info Items	"A written request from Volcano Manor addressed to Bernahl disclosing the names of two Tarnished to be hunted.
""Vargram the Raging Wolf""
""Errant Sorcerer Wilhelm""
Both men can be found in the Royal Capital of Leyndell. Find the red mark on your map for the exact location.
"
Shabriri Grape	Elden Ring Wiki	Items	Key Items	"A yellowing, oozing eyeball of the infirm. The surface is shriveled, and the inside is squishy, not unlike a large, overly-ripe grape.
Give to the blind maiden to guide her to the distant light.
"
Imbued Sword Key	Elden Ring Wiki	Items	Key Items	"Stone key shaped like a sword.A special item, imbued with rich blue magic.
Breaks the seal on the imp statues guarding the sending gates enshrined in each belfry, but remains embedded in the statue after use, meaning it can only be used once as an item.
Think well before using one.
"
Holy Grease	Elden Ring Wiki	Items	Consumables	"Solidified grease made from a mixture of holy resonant materials. Craftable item. 
Coats armament, adding holy damage to attacks. The effect lasts only for a short time. 
"
Sewer-Gaol Key	Elden Ring Wiki	Items	Key Items	"Filthy key received from the Dung Eater.
Unlocks sewer-gaol door said to lie beneath Leyndell, the Royal Capital.
"
Morgott's Great Rune	Elden Ring Wiki	Items	Great Runes	"A Great Rune of the shardbearer Morgott.Its blessing greatly raises maximum HP.
This Great Rune is the anchor ring that houses the base, and proves two things:
That the Omen King was born of the golden lineage, and that he was indeed the Lord of Leyndell.
"
Beast Blood	Elden Ring Wiki	Items	Materials	"Fresh beast blood, glinting with gold.Material used for crafting items.
Found by hunting carivorous beasts.
This glimmering blood never rots or decays.
"
Alexander's Innards	Elden Ring Wiki	Items	Key Items	"A keepsake of the warrior jar Alexander. Found at the core of the dead flesh that once filled the great jar.
The jars contain drags inherited from those who came before. Thus are warriors passed from jar to jar, carrying dreams of greatness.
"
Fireproof Dried Liver	Elden Ring Wiki	Items	Consumables	"Cured animal liver, dried out after pickling in a red medicinal solution. Craftable item.
Temporarily boosts fire damage negation, improving damage mitigation against attacks imbued with fire.
"
