item	site	category	subcategory	description
Redmane Knight Ogha Ashes	Elden Ring Wiki	Spirit Ashes	+	"Legendary ashen remains. Use to summon the spirit of Ogha, the Redmane Knight.  Spirit of a mighty knight versed in the use of a greatbow. A valiant warrior who will attack immediately after being summoned.  The longest-serving member of the Redmane Knights, Ogha studied techniques to manipulate gravity alongside Radahn. May use a rain of gravitational arrows in response to a war cry, but only once.
"
Godrick Soldier Ashes	Elden Ring Wiki	Spirits	+	"Ashen remains in which spirits yet dwell.Use to summon the spirits of two of Godrick's soldiers.
A duo of spirits, consisting of a wielder of devastating charged 
hammer attacks in the vanguard and a crossbowman bringing up 
the rear.The soldiers who serve Godrick the Grafted are what remains of
 the army that fled the royal capital of the Erdtree.
"
Fanged Imp Ashes	Elden Ring Wiki	Spirits	+	"Ashes remains in which spirits yet dwell.Use to summon two fanged imp spirits.
These spirits are well suited to causing a disturbance, moving nimbly like pests and hurling magic pots.The two imps seem fond of each other's company.
"
Lhutel the Headless	Elden Ring Wiki	Spirits	+	"Legendary ashen remains.Use to summon the spirit of Lhutel the Headless.
Spirit of a headless knight who leads the mausoleum soldiers.
Wields a lance enrobed in Death and hurls spectral lances at foes.
Lhutel sacrificed her life so that in Death she could continue to protect a soulless demigod until their revival, earning her the hero's honor of Erdtree Burial.
"
Giant Rat Ashes	Elden Ring Wiki	Spirits	+	"Ashen remains in which spirits yet dwell. Use to summon the spirits of three giant rats.
Spirits that do not require FP to summon.The rat spirits appear at a distance from the summoner, swarming 
upon their victim to start the fight.Even as spirits, these vermin seem to multiply endlessly. 
Enhancing these ashes can increase their numbers.
"
Miranda Sprout Ashes	Elden Ring Wiki	Spirit Ashes	+	"Ashen remains in which spirits yet dwell. Use to summon the spirits of five miranda sprouts. Summoning consumes HP rather than FP.  Spirits of sweet little miranda flowers, carnivorous blossoms that feed upon human flesh. They creep slowly, scattering toxic pollen. Vulnerable to fire—do take care of the little darlings.
"
Crystalian Ashes	Elden Ring Wiki	Spirit Ashes	+	"Ashen remains in which spirits yet dwell.
 Use to summon the spirit of a Crystalian.
 Spirit that wields round crystalline blades, both big and small. Its sturdy body, itself hewn from crystal long ago, is hard enough to blunt its opponent's blades, but blows from bludgeoning weapons can shatter it easily.
"
Skeletal Militiaman Ashes	Elden Ring Wiki	Spirits	+	"Ashen remains in which spirits yet dwell.Use to summon the spirits of two skeletal militiamen.
These are the spirits of militiamen who live in Death, and will
 continue to rise again until properly finished off. This is the grotesque fate of those who come into contact with
 Deathroot.
"
Marionette Soldier Ashes	Elden Ring Wiki	Spirits	+	"Ashen remains in which spirits yet dwell.Use to summon the spirits of two marionette soldiers.
Spirits of marionette soldiers created to serve a sorcerer.These marionettes are archers, each equipped with a pair of bows. 
On the verge of falling apart, they are ill—disciplined and attack 
without warning.
"
Oracle Envoy Ashes	Elden Ring Wiki	Spirit Ashes	+	"Ashen Remains in which spirits yet dwell. 
Use to summon the spirits of four Oracle Envoys.
Spirits of a monstrous band of musicians who employ sacred arts. It is said that when Oracle Envoys appear, playing their pipes, they do so to herald the arrival of a new god, or age.
"
Greatshield Soldier Ashes	Elden Ring Wiki	Spirit Ashes	+	"Ashen remains in which spirits yet dwell.
Use to summon five greatshield soldier spirits.
Spirits of greatshield soldiers who belonged to the Fallen Hawks, a band of soldiers that once explored the Eternal City. Stout defenders with a steady guard. 
Though their methods are somewhat crude, they work well as a squadron, and will attract the attention of enemies or lob ghostflame from the rearguard.
"
