item	site	category	subcategory	description
Leather Shield	Dark Souls Wiki	Shields	Small Shields	"""Round leather-covered shield. A standard, widely-used shield.
Small shields are always less stable, but landing critical hits after parry is easier.""
"
Plank Shield	Dark Souls Wiki	Shields	Small Shields	"""Makeshift shield built from wood planks. Provides minimal protection, but at a cost of moderate humiliation.""
"
Cracked Round Shield	Dark Souls Wiki	Shields	Small Shields	"""Round wooden shield. Cracked and nearly broken.
Wood shields are lighter than metal shields, but this one has lower physical damage reduction stability, partly due to cracking.""
"
Havel's Greatshield	Dark Souls Wiki	Shields	Greatshields	"""Greatshield of the legendary Havel the Rock. Cut straight from a great slab of stone.""
""This greatshield is imbued with the magic of Havel, proves a strong defense, and is incredibly heavy.
A true divine heirloom on par with the Dragon tooth""
"
Grass Crest Shield	Dark Souls Wiki	Shields	Standard Shields	"""Old medium metal shield of unknown origin. The grass crest is lightly imbued with magic, which slightly speeds stamina recovery.""
"
Giant Shield	Dark Souls Wiki	Shields	Greatshields	"""Greatshield made of bronze and marcasite. Used by the giant sentinels of Anor Londo.
Marcasite, or white iron, is effective against non-physical damage, but as the shield is designed for the giant sentineles, its weight is unbearable.""
"
Silver Knight Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of the Silver Knights of Anor Londo. A flowing canal is carved deep into its face.
The Silver Knights stayed behind in Anor Londo to defend the illusory goddess, and their shields are blessed with her divine protection.""
"
Effigy Shield	Dark Souls Wiki	Shields	Small Shields	"""Frightful occult shield. Defends against divine weapons and lightning.
In an ill-fated plot to destroy the very gods, the followers of the occult once attempted to steal the power of Gravelord Nito, the first of the dead.""
"
Heater Shield	Dark Souls Wiki	Shields	Standard Shields	"""Small metal shield. A standard, widely-used shield.""
""This shield is easy to use, and is one of the smallest shields that offers 100% physical damage reduction.""
"
Dragon Crest Shield	Dark Souls Wiki	Shields	Standard Shields	"""Shield of a nameless knight, likely a high-ranked knight of Astora.""
""One of the enchanted blue shields. The dragon crest shield greatly reduces fire damage.""
"
Sanctus	Dark Souls Wiki	Shields	Standard Shields	"""A legendary weapon of the Way of the White, granted to an Undead paladin long ago""
""Once blessed with the protection of a white flame, but its power has all but faded, so that it provides only slight HP recovery.""
"
