item	site	category	subcategory	description
Repeating Crossbow	Dark Souls 3 Wiki	Weapons	Crossbows	"
This crossbow, customized for repeat-firing to face mobs alone, was wielded by Slave Knight Gael.
Used in the battles of an endless journey, this crossbow is covered with twists and dinks, rusted with blood, and made extremely brittle from overuse.
Skill: Repeat Fire Assume stance to activate repeat firing mechanism, and repeat fire with normal and strong attacks.
"
Immolation Tinder	Dark Souls 3 Wiki	Weapons	Halberds	"
Profaned Flame wielded by the Irithyllian witches, frigid spirits roaming the Boreal Valley.This torch, both a weapon and a staff, is enshrouded in an everlasting flame.Skill: Punitive FlamePunish foes with a flame that blankets the ground.
"
Gargoyle Flame Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	"
Stone torch hammer wielded by gargoyles of the Profaned Capital. The Profaned Flame, which never goes out, imbues this weapon with a fire attack.Skill: Kindled FuryAnchor weapon in earth and use strong attack to launch successive volleys of fire from the tip of the hammer. 
"
Ledo's Great Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	"
Great Hammer wielded by the Silver Knight Ledo. Ledo's hammer is by far the heaviest weapon amongst those wielded by the knights of Anor Londo.
Ledo, an eccentric who traveled aross the outskirts, became a close friend to the giants and even Havel, the Rock.
Skill: Call to Stone  Spin to lure stones to the steel hammer, and use strong attack to transition into an earth slam that shatters the stones in a shockwave.
"
Dragon Tooth	Dark Souls 3 Wiki	Weapons	Great Hammers	"
Created from an everlasting dragon tooth that will never break.Left by Havel himself, along with his boulder-like great shield. Grants its wielder resistance to magic and fire.Skill: PerserveranceAnchor weapon in earth to temporarily boost poise. Damage reduced while activated.
"
Soldering Iron	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
Branding iron used by the jailers prowling Irithyll Dungeon.Press its searing tip against foes to inflict fire damage, and temporarily block Estus healing.Skill: ChargeHold iron at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
"
Greataxe	Dark Souls 3 Wiki	Weapons	Greataxes	"
Greataxe resembling a hunk of raw iron.If one posesses the inhuman strength required to lift the weapon, the great heft of its attacks will send foes flying. However, since every swing makes use of one's entire body, attacks leave the wielder wide open to retaliation.Skill: WarcryLet out a spirited warcry that temporarily boosts attack.
"
Arstor's Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
One of the curses that festered within the belly of the Greatwood, and a terrible weapon favored by Earl Arstor the Impaler. The spear is enwreathed in rotten, heavily poisonous meat. Defeating foes restores HP.Skill: Shield SplitterTake a large step forward and make a single focused thrust to puncture enemy shields and inflict damage.
"
Reinforced Club	Dark Souls 3 Wiki	Weapons	Hammers	"
A club made more deadly by the attachment of numerous nails to its head.  The nails allow this strike weapon to be lacerating, but the damage caused by their insertion has reduced its durability, making the weapon fragile.  Skill: Warcry  Let out a spirited warcry that temporarily boosts attack, and enables a special consecutive strong attack.
"
Warden Twinblades	Dark Souls 3 Wiki	Weapons	Curved Swords	"
Paired weapon wielded by the grave wardens of the Cathedral of the Deep. The grave wardens of the cathedral, who put down reincarnating corpses, wield weapons that cause profuse bleeding, for the loss of blood and bodily fluids is said to slow reanimation. Skill: Spin Slash Slice into foes with a large spinning motion, and continue spinning to transition into strong attack.
"
Black Blade	Dark Souls 3 Wiki	Weapons	Katanas	"
A short katana wielded by the swordsman and distinguished guest of High Lord Wolnir. This shiny black blade is thick, but shorter than the typical katana.The swordsman was a master of a rare technique, traces of which can be observed in this weapon's strong attack.Skill: HoldAssume a holding stance to rapidly execute a lunging slash with a normal attack, or a deflecting parry with a strong attack.
"
Gundyr's Halberd	Dark Souls 3 Wiki	Weapons	Halberds	"
Halberd of Gundyr the Champion, received when he was charged with his duty.This old cast-iron halberd has the power to break poise, and is said to never crumble, seeming to suggest that Gundyr was fated to eternal service from the beginning.Skill: Champion's ChargeHold spear at waist and charge at foe, and use momentum to transition into sweeping strong attack. 
"
Crescent Axe	Dark Souls 3 Wiki	Weapons	Halberds	"
A crescent-shaped halberd resembling a long-handled battle axe.Traditionally wielded by Way of White clerics.Skill: WarcryLet out a spirited warcry that temporarily boosts attack.
"
Four-Pronged Plow	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
This four-pronged plow is shaped like a fist, and is a worker's tool in the Undead Settlement.Not originally intended for battle, but serves as a deadly weapon owing to its sharp points.Skill: ChargeHold spear at waist and charge at foe. Only, it is important to have good footing. 
"
Crucifix of the Mad King	Dark Souls 3 Wiki	Weapons	Halberds	"
A cross spear hung with a malformed corpse. 
Once, a mad king was born to the pygmy royalty and Shira, knight of Filianore, put him to rest. But Shira's cross spear, unable to kill the undying king, only pinned itself to him. Shira delivered them together to the darkroom, where she stayed and held them close.
Skill: Mad King's FollySlam malformed corpse into the ground to briefly awaken it, then fillet with strong attack to trigger a roar, a blessing, or vexation.
"
Demon's Fist	Dark Souls 3 Wiki	Weapons	Fist & Claws	"
A demonic fist that burns with fiery essence. Its wielder can release this power through use of its Skill. When two-handed, fists are equipped in each hand.Skill: Flame WhirlwindSpin through opponents with abandon, flaming fists outstretched. Using a strong attack while spinning utilizes your momentum to slam the ground with both fists.
"
Winged Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
A long-hilted spear with winged lugs. Long reach, and can be used with shield up. Spear attacks are centered on thrusting, but can inflict high damage when timed with the end of an enemy's swing.Skill: ChargeHold spear at waist and charge at foe. Use strong attack while charging to extend the length of the charge.

"
Painting Guardian's Curved Sword	Dark Souls 3 Wiki	Weapons	Curved Swords	"
A weapon described in legends passed down amongst heretics, wielded by the Painting Guardians.A uniquely shaped weapon with a flat tip.Skill: Chained DanceExecute relentless consecutive attacks while tracing a circle in a unique dance of deadly grace. 
"
Earth Seeker	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	"
This large twin-bladed axe forged with bronze is a ceremonial weapon normally used in sacred rites. Millwood is a land of primitive earth worship where chieftain knights served as high priests. Skill: Earthen Wrath
 Thrust weapon into earth with a prayer to trigger explosive tremors.
"
Tailbone Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
Twisted spear favored by the wretched, failed prisoners of Irithyll Dungeon.Crafted from a feeble tailbone, and seen as a sign of the dragons. Their screams are oft heard inside the dungeon, as they naively mutilate their unworthy flesh.Skill: Unleash DragonThrust the spear to unleash the strength of dragons, similar to an ancient dragon weapon, only with its power tragically faded.
"
Great Mace	Dark Souls 3 Wiki	Weapons	Great Hammers	"
Large mace wielded by the knights of the Cathedral of the Deep. The extremely heavy strike attacks of this weapon are devastating and will break weaker shields with a single blow. Wielding such a weapon will require inhuman strength. Skill: Perseverance Anchor weapon in earth to temporarily boost poise. Damage reduced while activated.
"
Rotten Ghru Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
A crude, half-rotten curved spear.Choice weapon of the blunt-horned Ghrus, descendants of the acolytes of Farron Keep.The rancid tip is drenched in rotten waste, making it acutely poisonous.Skill: ChargeHold spear at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
"
Dragonslayer Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	"
Cross spear associated with Ornstein the Dragonslayer. A weapon of the gods imbued with the strength of lightning.Two-handed thrust utilizes the support of the cross and requires great might, but can pierce deep into the flesh of dragons, and send mere men flying.Skill: Lightning ChargeCharge with spear at waist to enwreathe with lightning, then release bolts with final thrust. 
"
Astora Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	"
This greatsword, bestowed only upon elite knights, is a relic of the ruined land of Astora. Designed for a focus on thrust attacks, this sword is hard and sharp, but not unusually heavy. Skill: Charge Hold sword at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
"
Sacred Chime of Filianore	Dark Souls 3 Wiki	Weapons	Sacred Chimes	"
A sacred chime blessed by Princess Filianore, matriarch of the church.
Filianore's favor knows no boundaries, and this sacred chime expands the range of vicinity-affecting miracles that heal, cure, or provide other enhancements.
Skill: Pray for FavorWorks with chime equipped in either left or right hand. Heals HP very slowly for a duration of time. Affects caster and those in vicinity.
"
Follower Sabre	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	"
Great curved sword wielded by Farron Followers. Its great weight enables heavy-handed chain attacks.
The Followers brandish their swords to hunt warriors taken by the Abyss. Their technique is honed to face men, implying those yet to lose their human aspect are their likeliest prey.
Skill: Prying Wedge
A chain attack that wedges below foes and swings upward, breaking their guard. Strong attack can be used to follow up the onslaught with a fatal blow.
"
Vordt's Great Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	"
Great Hammer wielded by Vordt, the outrider knight of the Boreal Valley. Weapon is inbued with frost, and causes frostbite.Frost accumulates in the body causing frostbite, which saps one's health, lowers absorption, and slows stamina recovery.Skill: PerseveranceAnchor weapon in earth to temporarily boost poise. Damage reduced while activated.
"
Sorcerer's Staff	Dark Souls 3 Wiki	Weapons	Staves	"
Staff used to cast sorceries. A common catalyst given to sorcerers of the Vinheim Dragon School.Equip a catalyst to use sorceries. Sorceries must be tuned at a bonfire before use.Skill: Steady ChantBoost the strength of sorceries for a very short period. Works while equipped in either hand.
"
Great Corvian Scythe	Dark Souls 3 Wiki	Weapons	Reapers	"
Great scythe of the forlorn souls guided by heretical storytellers. The Mistress of the Painted World is said to wield a great scythe herself. Great scythes inflict profuse bleeding, such that the blood splatters on the wielder.Skill: Neck SwipeThis attack aims for the scruff of a foe's neck, and when successful, functions as a head shot, inflicting heavy damage.
"
Cathedral Knight Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	"
Ultra greatsword wielded by the knights of the Cathedral of the Deep.
Highly destructive if intolerably heavy.
Its blade is flattened for use as a strike weapon, but the point at the end allows for thrusting.
"
Pyromancer's Parting Flame	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	"
The pyromancy flame of Livid Pyromancer Dunnel that attracts the echoes of  death.
When Dunnel lost his hideous spouse, he gave his own pyromancy flame as an offering, which transformed into a parting flame. Not long after, Dunnel became a mad spirit, cursed to wander the lands.
Skill: Parting Flame
Release store of death echoes to gain a modest dose of Estus.
 
"
Shortsword	Dark Souls 3 Wiki	Weapons	Straight Swords	"
Small straight sword excelling in thrusting attacks.
The shortsword is a light and easily wielded straight sword, due to its minimal attribute requirements.
Skill: StanceWhile in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge.
"
Man-Grub's Staff	Dark Souls 3 Wiki	Weapons	Staves	"
Staff of the man-grubs who guard Rosaria’s Bed Chamber. Their holy symbol is formed at the tip. Wielder’s luck strengthens effects of sorceries.The man-grubs have clearly been reborn, but as what?Skill: Steady ChantBoost the strength of sorceries for a very short period. Works while equipped in either hand.
"
Lucerne	Dark Souls 3 Wiki	Weapons	Halberds	"
A polearm with a sharp, hard pronged head that inflicts thrust attacks.The Lucerne is wielded overhand like a hammer, or can be swung from the side to break through shields.Skill: Spin SweepSweep foes in a large spinning motion, and utilize momentum to transition into an overhanded strong attack smash.
"
Manikin Claws	Dark Souls 3 Wiki	Weapons	Fist & Claws	"
Weapon of the Pale Shades, assassins of the Sable Church of Londor. The curved claws cause heavy bleeding.When two handed, claws are equipped to each hand.Skill: QuickstepInstantly step behind or around the side of foes. Especially effective when locked on to target.
"
Farron Greatsword	Dark Souls 3 Wiki	Soul Transposition	Boss Soul Weapons	"
Greatsword of the Abyss watchers which is atypically paired with a dagger.The dagger is utilized as a wedge in the left hand while the greatsword is held in the right, a unique technique that was synonymous with the Undead Legion. Confounds foes the manner of wolves hunting prey. Skill: ParryDeflect an attack when timed properly and follow up with a critical hit, executed with the dagger.
"
Talisman	Dark Souls 3 Wiki	Weapons	Talismans	"
Talisman for casting miracles of the Gods. Once a very common item among the ranks of the old Way of White.Equip a Talisman or a sacred chime to cast miracles. Miracles must be attuned at a bonfire before use.Skill: Unfaltering PrayerTemporarily increase poise while casting miracles, preventing enemy attacks from interrupting prayer. Works while equipped in either hand.
"
Longbow	Dark Souls 3 Wiki	Weapons	Bows	"
Longbow commonly used by hunters.Arrows must be equipped in order to use bows. Up to two kinds of arrow can be equipped at a time, and these can be switched as necessary.Skill: PuncturePull the arrow even further back for a more powerful shot that can also pierce shields.
"
Crow Quills	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	"
Thrusting sword wielded by Corvian Knights, and a special paired weapon. When twin-handed, brandish four thin-edge blades in the left hand.
In their infatuation with Sister Friede, the Corvian Knights swore to protect the painting from fire, and to this end, took to the execution of their own brethren.
Skill: Quill Dart
Simultaneously throw temporarily substantial illusions of the four thin-edged blades wielded in the left hand.
"
Quakestone Hammer	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	"
A Stonehammer wielded by the Millwood Knights, with a head of naturally-formed stone.
The Knights of Millwood would fight hand-in-hand with the earth itself, and this weapon, among the oldest in Millwood, is symbolic of that relationship.
Skill: Quake
Burrow hammer head into the ground with a great slam, and use strong attack to upheave earth, creating a shockwave that rumbles like a mighty warcry. 
"
Millwood Battle Axe	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	"
Battle axe wielded by Millwood Knights. Its blade is blessed by the symbol of the Ethereal Oak
A hefty axe normally wielded by the mightiest of warriors.
Skill: Warcry
The unique warcry of the Millwood Knights entailed a leap straight toward the enemy and a fearsome roar.
"
Spiked Mace	Dark Souls 3 Wiki	Weapons	Great Hammers	"
Choice weapon of the evangelists of the Cathedral of the Deep, mentors of the dwellers of the Undead Settlement. Its long, sharp spikes cause great pain and bleeding.Skill: Spin BashBash foes with a large spinning motion, and utilize momentum to transition into an overhanded strong attack smash.
"
Broken Straight Sword	Dark Souls 3 Wiki	Weapons	Straight Swords	"
A straight sword with a broken blade.A weapon with no exceptional qualities. Only a mad Hollow would choose to fight with this.Skill: StanceWhile in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge. Only, neither move will appear very impressive with a broken sword.
"
Storm Curved Sword	Dark Souls 3 Wiki	Weapons	Curved Swords	"
Curved sword imbued with the strength of the Stormdrake.The Nameless King, ally of the ancient dragons, fought beside the Stormdrake in countless battles.  When the great beast fell, the king claimed his soul, as was the custom in the age of godsSkill: TornadoImbue blade with the wrath of storm in a spinning motion, and follow with a strong attack to bear that wrath upon foes.
"
Astora Straight Sword	Dark Souls 3 Wiki	Weapons	Straight Swords	"
A well-crafted sword named after the ruined land.Astora, before its fall, was a land replete with royal blood, and this weapon is both a reminder and heirloom of that era.Skill: StanceWhile in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge.
"
Longsword	Dark Souls 3 Wiki	Weapons	Straight Swords	"
A balanced, widely-used standard straight sword. Inflicts reliable standard damage, as well as high thrust damage.
Skill: StanceWhile in stance, use normal attack to break a foe's guard from below, and strong attack to slash upwards with a forward lunge. 
"
Storyteller's Staff	Dark Souls 3 Wiki	Weapons	Staves	"
Staff of a heretic storyteller who shares tales of the Painted World to forlorn souls.The storytellers, too, are wretched beings with no place to go. Their bodies, souls, and even their staves are all tainted through and through.Skill: Poison SporesExpel noxious spores from the formless, parasitical things that inhabit the staff.
"
Crystal Sage's Rapier	Dark Souls 3 Wiki	Weapons	Thrusting Swords	"
Thrusting Sword with tiny crystals scattered across its blade, used by the Crystal Sages for self-defence.The crystals boost the magic damage inflicted by the sword, and the item discovery of its wielder, fruit of the lifetime of research conducted by the sages.Skill: Stance. From stance, use normal attack to back step and execute a surprise attack, or a strong attack for consecutive thrusting.
"
Sage's Crystal Staff	Dark Souls 3 Wiki	Weapons	Staves	"
Crystal catalyst presented as a gift from the Crystal Sages to their favorite pupil, Kriemhild. Crystal spheres devour the will of the user, and this staff increases the potency of sorceries at the cost of increased FP consumption by Skills.Skill: Steady ChantBoost the strength of sorceries for a very short period. Works while equipped in either hand.
 
"
Yorshka's Chime	Dark Souls 3 Wiki	Weapons	Sacred Chimes	"
A sacred chime belonging to Yorshka. Her brother, the former knight captain, presented her with this medium together with another gift: her name.The ringing of the chime must have done much to soothe her loneliness.Skill: Gentle PrayerRecovers HP for a period of time, albeit extremely slowly. Works while equipped in either hand.
"
Saint's Talisman	Dark Souls 3 Wiki	Weapons	Talismans	"
Medium for casting miracles of the Gods. Ivory talismans are given only to women clerics, and faith greatly affects their effectiveness.There is a certain frailty to this talisman, which undermines the steadfastness granted by its Skill.Skill: Unfaltering PrayerTemporarily increases poise while casting miracles, preventing enemy attacks from interrupting prayer. Works while equipped in either hand.
"
Crescent Moon Sword	Dark Souls 3 Wiki	Weapons	Curved Swords	"
Ringfinger Leonhard's weapon of choice, a type of shotel imbued with the power of the moon.Leonhard set out on a journey of rebirth, but decided instead to serve the goddess as a knight, and inherited this weapon. Skill: Crescent BladeAssume a broad stance and fire off crescent moon blades. 
"
Black Knight Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	"
Ultra greatsword wielded by the Black Knights who wander the lands. Designed to face chaos demons.The Black Knights constantly faced foes larger than themselves, and this sword's unique attack greatly reduces enemy poise. 
Skill: StompUse one's weight to lunge forward with a low stance and increased poise, and follow with a strong attack for a spinning slash. 
"
Bandit's Knife	Dark Souls 3 Wiki	Weapons	Daggers	"
A wide single-edged shortsword.Primarily a slicing weapon, but its blade is crafted to cause bleeding, making it a favorite of lowly thieves and bandits.Skill: QuickstepInstantly step behind or around the side of foes. Especially effective when locked on to target.
"
