item	site	category	subcategory	description
Canvas Talisman	Dark Souls Wiki	Weapons	Talismans	"
Medium for casting miracles of the Gods. Canvas Talisman is for clerics on a pilgrimage.  Equip talisman to cast miracles. Attune miracles from a scroll at a bonfire. Most miracles have limited number of uses.""
"
Greataxe	Dark Souls Wiki	Weapons	Great Axes	"
This greataxe is a veritable mass of iron. Its weight sends foes flying, but makes it difficult to handle without inhuman strength.""  ""Any miss makes one very vulnerable, as each swing requires the full force of the body.""
"
Pyromancy Flame	Dark Souls Wiki	Weapons	Flames	"
Flame medium used by Great Swamp pyromancers. Pyromancers arouse this flame to produce various fire arts. Equip pyromancer flame to produce pyromancy. Attune pyromancies from a scroll at bonfire. Most pyromancies have limited number of uses.""  After upgrading: ""Pyromancy flame drawing upon the latent power of Quelana of Izalith, mother of pyromancy. For the pyromancer, a flame is a precious thing indeed, to be nurtured, often for an entire lifetime. When the flame is shared, it creates an eternal bond between the parties.""
"
Black Knight Halberd	Dark Souls Wiki	Weapons	Halberds	"
Halberd of the black knights who wanderLordran. Used to face chaos demons.
The large motion that puts the weight of thebody into the attack reflects the great sizeof their adversaries long ago.
"
Ghost Blade	Dark Souls Wiki	Weapons	Daggers	"
The ghosts of New Londo clutch this wickedly sharp dagger with their bony hands and make mincemeat of the living."" ""One of the cursed weapons which can inflict damage upon ghosts.""
 
"
Golem Axe	Dark Souls Wiki	Weapons	Axes	"
An axe born from the soul of the Iron Golem, guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo."" ""Its powerful one-handed attack imitates the Golem's blade of wind, but the heavy iron blade makes it quite unwieldy.""
"
Mace	Dark Souls Wiki	Weapons	Hammers	"
Iron hammer with a protrusive pommel.This simple bladeless strike weapon is effective against most foes, and can break the guard of a shield. However, one miss leaves one wide open.""
"
Abyss Greatsword	Dark Souls Wiki	Weapons	Greatswords	"
This greatsword belonged to Lord Gwyn's Knight Artorias, who fell to the Abyss. Swallowed by the Dark with its master, this sword is tainted by the Abyss, and now its strength reflects its wielder's humanity.""
 
"
Spear	Dark Souls Wiki	Weapons	Spears	"
Standard spear used commonly by soldiers. Long reach, and can be used with shield up. Effective against hard exteriors, and hits for high damage at the right moment of an enemy's swing. But the hit radius is small, and it is easily blocked by shields.""
"
Sunlight Straight Sword	Dark Souls Wiki	Weapons	Straight Swords	"
This standard longsword, belonging to Solaire of Astora, is of high quality, is well-forged, and has been kept in good repair. Easy to use and dependable, but unlikely to live up to its grandiose name.""
 
"
