item	site	category	subcategory	description
Frenzied Flame Seal	Elden Ring Wiki	Weapons	Sacred Seals	"Formless sacred seal bestowed by the maiden of the Three Fingers.
Enhances incantations of the frenzied flame.
This seal is the mark of the Lord of Frenzied Flame. Scales 
incantations using strength, dexterity, intelligence, and faith all 
together.
"
Scavenger's Curved Sword	Elden Ring Wiki	Weapons	Curved Swords	"Unique curved sword, notched like shark's teeth. Weapon carried by corpse pillagers who prowl the sites of old battles. The blade is tacky with blood and covered in hefty nicks, making it totally uneven. Life can be sinister indeed. 
"
Nightrider Glaive	Elden Ring Wiki	Weapons	Halberds	"A jet-black glaive with a blade as weighty as a bludgeon. Weapon of the Night's Cavalry who ride funeral steeds. 
This glaive excels at weighty slash attacks that crash into foes, making it a powerful weapon even on horse back.
"
Venomous Fang	Elden Ring Wiki	Weapons	Claws	"One of the weapons designed for gladiatorial combat. Used by duelists who were exiled from the colosseum.
The black fang protruding from the bronze snake head is coated in deadly poison.
"
Bloody Helice	Elden Ring Wiki	Weapons	Heavy Thrusting Swords	"Ominous piercing sword with a winding blade. Carried by the noble servants of the Lord of Blood.
Designed to bore into flesh, causing severe blood loss at the wound. The extracted blood trickles gracefully down the length of the blade. 
"
Black Knife	Elden Ring Wiki	Weapons	Daggers	"Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives. 
A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death. 
"
Great Mace	Elden Ring Wiki	Weapons	Great Hammers	"Huge bludgeon with sharp protrusions. An enlarged version of its smaller cousin.
Maintains all the advantages of smaller bludgeons, boasting few deficiencies while being very capable at breaking enemy guards and stances. A shrewd choice for simple slugging matches.
"
Executioner's Greataxe	Elden Ring Wiki	Weapons	Greataxes	"Bulky cleaver welded to a long haft. Said to have been used to dispatch the remnants of defeated armies, felling them like timber.
Perhaps that is the reason it excels at critical hits. 
"
Nox Flowing Hammer	Elden Ring Wiki	Weapons	Hammers	"Mace shaped like a suspended metal droplet wielded by monks of the Eternal City.
Forged from liquid metal from a Silver Tear, it is thoroughly tempered until hardened.
"
Staff of Loss	Elden Ring Wiki	Weapons	Glintstone Staffs	"Staff missing its glintstone. Wielded by sorcerers who believe that discovery comes through acts of asceticism.
This staff only distinguishes itself when casting invisibility sorceries, but that is reason enough for some to wield it.
"
Battle Hammer	Elden Ring Wiki	Weapons	Great Hammers	"Large iron great hammer designed for gladiatorial combat. Used by duelists who were exiled from the colosseum.
Weighty enough to crush armor and its wearer alike. 
"
Cross-Naginata	Elden Ring Wiki	Weapons	Spears	"Weapon consisting of a three-pronged blade affixed to a long pole.
The long central blade closely resembles a katana.
A weapon of the Land of Reeds, known for its ability to be wielded
as a spear while still being capable of performing slashing attacks.
"
Red Branch Shortbow	Elden Ring Wiki	Weapons	Light Bows	"Shortbow of polished red wood. Fashioned by a master craftsman and wielded by pages. 
A bow which requires dexterity rather than strength to master. 
"
Treespear	Elden Ring Wiki	Weapons	Great Spears	"Golden spear with tree-like design. Wielded by knights employed as palace guards in the Royal Capital of Leyndell. Deals holy damage. 
Requiring superior dexterity to wield, this greatspear can perform consecutive thrust attacks despite its larger size.  
"
Horn Bow	Elden Ring Wiki	Weapons	Bows	"Longbow made from animal horn. Wielded by the master hunters of the ancestral followers. 
Imbues arrows fired with magic damage.Reveals its true worth when used with magic-infused arrows. 
"
Twinned Knight Swords	Elden Ring Wiki	Weapons	Twinblades	"An attractive twinblade of fine make that prizes the chivalric way.  Can be wielded with a single hand, but its true strength is unlocked with dual-handed spinning attacks. 
"
Watchdog's Greatsword	Elden Ring Wiki	Weapons	Colossal Swords	"Stone greatsword wielded by Erdtree Burial Watchdogs.
Though decorated with the watchman's eye, the pupil was taken by graverobbers and is now hollow, leaving this sword a mere lump of stone.
"
Lance	Elden Ring Wiki	Weapons	Great Spears	"Considered a type of greatspear, this weapon has no blade, but instead features a long, conical body designed to pierce.Though heavy and hard to wield, this weapon displays its worth in horseback combat whether mounted or even on foot.
"
Twinblade	Elden Ring Wiki	Weapons	Twinblades	"A sword with blades on both sides of the hilt.This weapon is difficult to wield, and requires high dexterity.
Can be wielded with a single hand, but its true strength is enabled with dual-handed spinning attacks.
"
Godslayer's Seal	Elden Ring Wiki	Weapons	Sacred Seals	"Sacred seal of the Godskin Apostles, inlaid with obsidian.
Said to represent the manipulation of black flame, this catalyst enhances godslayer incantations.
"
Lordsworn's Greatsword	Elden Ring Wiki	Weapons	Greatswords	"Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army.
Through blackened and damaged by years of use, it appears to have otherwise been kept in a serviceable condition, despite the soldiers having long since lost their minds.
"
Crepus's Black-Key Crossbow	Elden Ring Wiki	Weapons	Crossbows	"Black crossbow featuring a long stock. Used for sniping, it has a
very long range.
Weapon of Crepus, who served the Two Fingers from the shadows
of the Roundtable as the head confessor.
"
Rosus' Axe	Elden Ring Wiki	Weapons	Axes	"Usher of Death, Rosus, who shows the path to the catacombs throughout the Lands Between, is depicted on this ritual axe.
The dead easily lose their way, and have always been in sore need of a guiding hand.
"
Albinauric Bow	Elden Ring Wiki	Weapons	Bows	"Longbow featuring delicate silverwork. Wielded by Albinauric wolfback archers.
This bow requires dexterity over strength to master.
"
