item	site	category	subcategory	description
Fume Ultra Greatsword	Dark Souls 2 Wiki	Weapons	Ultra Greatswords	<em>Ultra Greatsword forged from the soul of the Fume Knight.</em>
Notched Whip	Dark Souls 2 Wiki	Weapons	Whips	<em>A whip covered in spikes.</em> <br><br> <em>Shreds skin and causes bleeding. Very effective against bare flesh, but not against enemies with armor or like protection.</em>
Caitha's Chime	Dark Souls 2 Wiki	Weapons	Chimes	Sacred chime blessed by Caitha, goddess of tears. Hex-dedicated catalyst. <br><br> Cannot be used to cast miracles. Caitha, the goddess of tears, is known as a compassionate being that is with us in times of tragedy, but some believe that she is a demoness that guides us toward misfortune.
Scythe	Dark Souls 2 Wiki	Weapons	Halberds	"<em>""A scythe fitted with a large custom blade.</em><br><em>Has an extended slashing reach when swung broadly, but beware, these attacks make the wielder very vulnerable.""</em>"
Sanctum Crossbow	Dark Souls 2 Wiki	Weapons	Crossbows	<em>Crossbow wielded by sanctum knights. <br><br>Strong attack fires dark bolts.</em> <br><br> <em>These guardian knights were sentenced to eternal stewardship of the Sanctum in a clandestine ritual carried out in the great depths, but today the sanctum receives nary visitor.</em>&nbsp;<br> <br> 
Drakekeeper's Great Hammer	Dark Souls 2 Wiki	Weapons	Great Hammers	<em>An extremely sturdy pitch-black great hammer.</em> <br><br> <em>Colossal warriors staunchly watch over the shrine, ready to defend its resident, or allow one worthy enough to be granted audience.</em>&nbsp;<br> <br> 
Shotel	Dark Souls 2 Wiki	Weapons	Curved Swords	<em>A uniquely-shaped curved sword.</em> <br><br> <em>The name of its creator is unknown, but he was clearly a true craftsman. The curved blade is designed to reach around an opponent's shield to deal damage. <br><br>Use the strong attack to utilize:</em> <br> <em><strong>Effect: shield piercing (strong attack)</strong></em>
Black Dragon Sword	Dark Souls 2 Wiki	Weapons	Straight Swords	<em>In legend, this oddly-shaped straight sword is said to be forged from the black dragon's tail.</em> <br> <em>As it is told, the black dragon lost its tail to a brave warrior in a magnificent battle, and the tail was later used to forge several legendary weapons.</em>
Great Club	Dark Souls 2 Wiki	Weapons	Great Hammers	<em>A giant wooden club made from branches of a towering tree.</em> <br><br> <em>Designed to smash foes. Simple but terribly effective against common shields.</em>&nbsp;
Blue Dagger	Dark Souls 2 Wiki	Weapons	Daggers	"Dagger used by fume sorcerers when a battle draws too close for comfort.<br><br>An ordinary-looking dagger laced with magic. <br><br>Strengthens spells, but also increases vulnerability to them."""
Mace of the Insolent	Dark Souls 2 Wiki	Weapons	Hammers	<em>The mace of formerly high-ranking clerics. It is combined with a sacred chime, and can cast miracles and hexes with strong attack. The clerics held venerated positions once, but now, their souls wander aimlessly in the depths of a murky darkness.</em> <br><br> <em><strong>Effect: use miracle and hex (strong attack)</strong></em>&nbsp;
Work Hook	Dark Souls 2 Wiki	Weapons	Fist Weapons	<em>A hook that covers the hand.</em> <br> <br> <em>Clearly not intended as a weapon, but certainly sharp enough to shred an enemy's skin.</em>&nbsp;
Dark Pyromancy Flame	Dark Souls 2 Wiki	Weapons	Flames	<em>A flame catalyst used by pyromancers. Pyromancers rouse this flame to produce various fire arts.</em> <br><br> <em>The flame rewards those with a thirst of power. The more Hollowed one is, the stronger its effect.</em> <br><br> <em>Effect: Spell power scales with Hollowing.</em>&nbsp;
