item	site	category	subcategory	description
Ally's Ring	Demons Souls Wiki	Rings	+	"
Mysterious blue ring received from the Monumental. Increases attack power as an ally phantom. This ring forges human ties by encouraging its bearer to aid the warriors of other worlds. Thereby helping themselves in turn. This is in accordance with the wishes of the last living Monumental. The Foe's Ring is its counterpart.
"
Baby's Nail	Demons Souls Wiki	Weapons	Daggers	"
A dagger treated with plague. The blade is curved like a talon. A dagger often used by women and children for assassination. Among the various unique weapons, this is one of the especially sinister.
"
Bastard Sword	Demons Souls Wiki	Weapons	Large Swords	"
This large sword, similar to a straight sword, is a versatile weapon, but its weight means it usually required the use of both hands.
The smashing overhead attack greatly depletes a target's stamina, and easily breaks their guard.
"
Blueblood Sword	Demons Souls Wiki	Weapons	Straight Swords	"
A white iron straight sword born from the soul of the demon Maiden Astraea. The sword of true nobility, endowed with the essential power humans are born with, which increases its attack power.
"
Broad Sword	Demons Souls Wiki	Weapons	Straight Swords	"
A straight sword with a broad blade designed for slashing.
Slashing weapons inflict heavy damage on soft flesh but have a limited effect on metal armour and hard scales. Handily, this sword can also be used for thrusting attacks, which compensates for that particular weakness.
"
Broken Sword	Demons Souls Wiki	Weapons	Straight Swords	"
A small straight sword with a broken blade. Completely covered in rust with blood stuck to the blade, its sharpness is negligible.
"
Cat Ring	Demons Souls Wiki	Rings	+	"
A simple ring engraved with the seal of a cat. It decreases damage when falling from high places. However, if you fall from too high a perch, you will die in the usual way.
"
Claymore	Demons Souls Wiki	Weapons	Large Swords	"
This very large sword, similar to a straight sword, is a versatile weapon, but its weight means it usually requeres the use of both hands.
The smashing overhead attack greatly depletes a target's stamina, and easily breaks their guard.
"
Clever Rat's Ring	Demons Souls Wiki	Rings	+	"
A simple gold ring engraved with the seal of a small animal. Increases attack power when HP is below 30% Held by Lord Rydell, known as Little Allant. There is also the Dull Rat's Ring, which forms a matching set with this ring.
"
Cling Ring	Demons Souls Wiki	Rings	+	"
A mysterious ring forged in the shape of an eye. Character loses less HP after becoming a soul.
"
Dagger	Demons Souls Wiki	Weapons	Daggers	"
A standard dagger.
A slashing weapon that inflicts heavy damage on soft flesh but has a limited effect on metal armor and hard scales.  Daggers are very effective after parrying, as well as in close-range stabs from behind.
"
