item	site	category	subcategory	description
Dragon Crest Shield	Dark Souls 3 Wiki	Shields	Standard Shields	A knight's shield engraved with a crest depicting a dragon.<br><br>One of the enchanted blue shields. The Dragon Crest Shield greatly reduces fire damage.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Havel's Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	A tremendously solid and heavy greatshield, cut straight from a great slab of stone.<br><br>Said to be a relic of the legendary Havel the Rock, along with the Dragon Tooth. The shield is imbued with a special power reminiscent of Havel himself.
Dragonslayer Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	Melted iron shield that once formed part of the Dragonslayer Armour.<br><br>The shield offers high protection to lightning, which the Dragonslayer commanded as his own, and its Skill has faint echoes of the Dragonslayer's own fighting style.
Large Leather Shield	Dark Souls 3 Wiki	Shields	Small Shields	Orthodox round shield covered with leather.
Greatshield of Glory	Dark Souls 3 Wiki	Shields	Greatshields	"""A greatshield adorned with flowing patterns, a celebration of an ancient glory. Boasts the highest stability of such shields, but with reduced stamina regeneration speed. Perhaps it is glory that begets such indolence."""
Black Knight Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Shield of the Black Knights who roam the lands. A flowing canal is chiseled deeply into its face.<br><br>Long ago, the black knights faced the chaos demons, and were charred black, but their shields became highly resistant to fire.
Black Iron Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	Greatshield made of black iron, deeply feared for its association with Knightslayer Tsorig.<br><br>Black iron offers high defense, and is particularly effective at warding off fire.<br><br>Skill: Shield Bash<br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.
Sunlight Shield	Dark Souls 3 Wiki	Shields	Standard Shields	A large, circular shield made of metal and decorated with a holy symbol depicting the sun. <br> This shield was used by the old Knight of Sunlight, and the illustration is his own. Regardless, it has no particular divine powers.
Pontiff Knight Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Shield of the Pontiff's knights, frigid spirits that linger in Irithyll.<br><br>This blue-gray shield, shrouded in a thinly cold air, is light and brittle.<br><br>Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.
Kite Shield	Dark Souls 3 Wiki	Shields	"&nbsp;&nbsp;<a id=""btnCreateBreadcrumb"" title=""Add Breadcrumb"" href=""#"">+"	An orthodox metal shield.<br><br>Medium shields are the most average of shields, providing a practical balance of damage absorption, stability and weight.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Blue Wooden Shield	Dark Souls 3 Wiki	Shields	Small Shields	A wooden shield painted bright blue, the symbol of clerics who have become undead. Close to a small shield in size.<br><br>Wooden shields are light, manageable, and offer relatively high magic absorption.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Twin Dragon Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	"The lightest of all greatshields, made from wood and decorated with a two-headed dragon.<br><br>Greatshields are the largest type of shield, and offer both high stability and damage absorption, making it easy to deflect enemy attacks.<br><br>Skill: Shield Bash<br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.""<br><br>"
Golden Falcon Shield	Dark Souls 3 Wiki	Shields	Small Shields	A metal shield fashioned in the form of a falcon with wings outstretched. <br><br>The golden falcon was the emblem of an ancient band of sellswords, and even to this day, many mercenaries remain who look upon it as a token of good fortune. <br><br>Skill: Parry <br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Carthus Shield	Dark Souls 3 Wiki	Shields	Standard Shields	The tattered remnants of a leather shield used by a Carthus swordsman. <br>The swordsmen of Carthus were particularly agile, and this common shield is surprisingly light for one of medium size.
Silver Eagle Kite Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Orthodox metal shield engraved with a crest depicting a silver eagle.<br><br>Medium shields are the most average of shields, providing a practical balance of damage absorption, stability and weight.<br><br>Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.
Wargod Wooden Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Wooden shield reinforced with metal. The largest of the wooden medium shields.<br><br>The bizarre pattern featured on the shield is the mark of a mad god, revered as a god of war in remote regions.<br><br>Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.
Ancient Dragon Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	A wooden shield bearing the image of an ancient dragon. Very slowly regenerates HP.<br><br>The painting is the result of an exquisite but painstaking technique. Lingering, undying traces of the ancient dragons can still be seen in their descendants, the man-serpents, though they have fallen far from grace.
leather shield	Dark Souls 3 Wiki	Shields	Small Shields	An orthodox, round small shield covered with leather.
Spirit Tree Crest Shield	Dark Souls 3 Wiki	Shields	Standard Shields	A knight's shield engraved with a crest depicting a spirit tree.<br><br>One of the enchanted blue shields. The Spirit Tree Crest Shield greatly reduces lightning damage.
Llewellyn Shield	Dark Souls 3 Wiki	Shields	Small Shields	Metal shield crafted by the great smith.<br><br>Fashioned from rare geisteel, it excels at various types of damage absorption.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Bonewheel Shield	Dark Souls 3 Wiki	Shields	Greatshields	<em>A giant wooden wheel, encircled by spikes and half-melded to a strange skeleton. Can serve as a makeshift greatshield, albeit one with great great gaps. Legend holds that the Lord of the Dead wanted only baby skulls for this shield during the war against dragons, because they were the roundest. Its true value is revealed through use of its Skill</em>.
Ghru Rotshield	Dark Souls 3 Wiki	Shields	Small Shields	A rotting makeshift shield scavenged by the forest-dwelling Ghrus.&nbsp;&nbsp;<br><br>Barely effective as a shield. However, its rotten state has made it poisonous, and resistant to other poisons as a result.&nbsp;&nbsp;<br><br>Skill: Shield Bash&nbsp;&nbsp;<br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.&nbsp;&nbsp;
Spider Shield	Dark Souls 3 Wiki	Shields	Standard Shields	A shield bearing a large etching of a spider.<br><br>Shields of this style are commonly used by savage mountain bandits, and offer high resistance to poison.<br><br>Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.
Yhorm's Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	Greatshield used long ago by Yhorm the Giant. Increases the user's poise.<br><br>As a lord, Yhorm risked everything and fought unflinchingly as a one-man vanguard. Following the loss of the one he wished to protect, he forsook his shield.
Silver Knight Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Heavy shield carried by the Silver Knights who served the old royal family. A flowing canal is chiseled deeply into its face.The Silver Knights stayed behind to protect the humble manor and ruined cathedral. Though their goddess has long since left, her blessing upon her knights' shields remains.<br><br>
Curse Ward Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	Greatshield given to those who resisted the curse long ago.<br><br>Far too heavy for an ordinary person, perhaps it signifies the foolishness of resisting the curse.<br><br>And yet, those who bear the weight of this shield will not find its protections against curses wanting.<br><br>Skill: Weapon Skill<br>Equipped this shield in the left hand allows one to perform the Skill of the right hand weapon.
Crimson Parma	Dark Souls 3 Wiki	Shields	Small Shields	Standard round wooden shield. It is daubed with a red paint that symbolizes the blood of warriors.
Warrior's Round Shield	Dark Souls 3 Wiki	Shields	Small Shields	Standard round wooden shield. It bears a double-bladed axe, the mark of a warrior.
Red and White Shield	Dark Souls 3 Wiki	Shields	Small Shields	Standard round wooden shield. It features a striking red and white design.&nbsp;&nbsp;<br><br>Wooden shields are light, manageable, and offer relatively high magic absorption.&nbsp;&nbsp;<br><br>Skill: Parry&nbsp;&nbsp;<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.&nbsp;
Golden Wing Crest Shield	Dark Souls 3 Wiki	Shields	Standard Shields	A blue knight's shield engraved with a golden wing crest.<br><br>This shield is exceptional amongst the enchanted blue shields; not only does it boast high magic absorption, but also enables its wielder to parry spells.
Round Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Standard round wooden shield.&nbsp;&nbsp;<br><br>Wooden shields are light, manageable, and offer relatively high magic absorption.&nbsp;&nbsp;<br><br>Skill: Parry&nbsp;&nbsp;<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.&nbsp;&nbsp;
Porcine Shield	Dark Souls 3 Wiki	Shields	Porcine Shield	Shield based on a pig's head, depicted with unsettling authenticity.
Hawkwood's Shield	Dark Souls 3 Wiki	Shields	Small Shields	Shield that belonged to Hawkwood, a deserter from the Undead Legion. The unique swordsmanship of the Watchers does not normally allow for the use of shields. The unique swordsmanship of the Watchers would not allow such a shield, and Hawkwood's very possession of it was telltale of his defeat.
Moaning Shield	Dark Souls 3 Wiki	Shields	Greatshields	A deformed greatshield given to Eygon of Carim upon being conferred knighthood.
Elkhorn Round Shield	Dark Souls 3 Wiki	Shields	Small Shields	Standard round wooden shield. The blue antlers are reminiscent of designs found in Mirrah. Wooden shields are light, manageable, and offer relatively high magic absorption.<br><br><br>
Stone Parma	Dark Souls 3 Wiki	Shields	Standard Shields	A round, stone shield, once carried by an old knight who turned to stone himself.<br><br>It has powerful defensive properties for its size, but is extremely heavy.<br><br>Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.
East-West Shield	Dark Souls 3 Wiki	Shields	"&nbsp;&nbsp;<a id=""btnCreateBreadcrumb"" title=""Add Breadcrumb"" href=""#"">+"	A wooden shield decorated with the ancient symbol of the two-headed eagle. Close to a small shield in size. <br><br>Wooden shields are light, manageable, and offer relatively high magic absorption. <br><br>Skill: Parry <br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Spiked Shield	Dark Souls 3 Wiki	Shields	"&nbsp;&nbsp;<a id=""btnCreateBreadcrumb"" title=""Add Breadcrumb"" href=""#"">+"	Shield of Longfinger Kirk, the notorious Knight of Thorns. The surface bristles with thorns. <br><br>Its vicious design makes it an effective weapon, and its thorns can inflict heavy bleeding on those unfortunate enough to be struck. <br><br>Skill: Shield Strike <br>Use shield to attack enemies. Works while equipped in either hand.
Small Leather Shield	Dark Souls 3 Wiki	Shields	Small Shields	A small, leather-covered round shield.<br><br>It features a large central protrusion designed for parrying attacks.<br><br><br>Skill: Parry <br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.<br><br>Parry Type: Special<br>Longer frames during the parry window and longer recovery time.
Target Shield	Dark Souls 3 Wiki	Shields	Small Shields	A small, round metal shield.<br><br>The four distinctive protrusions are designed to brush attacks aside, making it ideal for parrying.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Lothric Knight Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Shield of the renowned Lothric Knights, decorated with the royal crest.
Eastern Iron Shield	Dark Souls 3 Wiki	Shields	Small Shields	A thick, round metal shield decorated with the unique crest of an eastern land. <br><br>Heaviest of the small shields, it is impressively weighty and thus able to deflect attacks with ease.<br><br> Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.<br><br><br>
Grass Crest Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Old medium metal shield of unknown origin.<br><br>The grass crest is lightly imbued with magic, which slightly speeds stamina recovery.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Knight Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Orthodox shield of the kind commonly used by low-ranking knights.<br> Medium shields are the most average of shields, providing a practical balance of damage absorption, stability and weight.
Sunset Shield	Dark Souls 3 Wiki	Shields	Standard Shields	Shield of the Holy Knights of the Sunless Realms.
Caduceus Round Shield	Dark Souls 3 Wiki	Shields	Small Shields	Standard round wooden shield. &nbsp;It is decorated with twin snakes, an ancient symbol of the Great Swamp.&nbsp;Wooden shields are light, manageable, and offer relatively high magic absorption.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.
Crest Shield	Dark Souls 3 Wiki	Shields	Standard Shields	A knight's shield engraved with a crest.<br><br>One of the enchanted blue shields. The Crest Shield greatly reduces dark damage.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.<br><br>Parry Type: Normal <br>The most common parrying speed for shields.&nbsp;
Shield of Want	Dark Souls 3 Wiki	Shields	Standard Shields	Shield of an ancient king who was cursed by an all-consuming thirst. In the end, he was no king.<br><br>The residue of the king's lust still smolders within this shield, increasing the number of souls absorbed when enemies are defeated.<br><br>Skill: Weapon Skill<br>Equipping this shield in the left hand allows one to perform the Skill of the right hand weapon.
Buckler	Dark Souls 3 Wiki	Shields	Small Shields	A very small round metal shield.<br>It features a large central protrusion designed for parrying attacks.<br><br><br>Skill:&nbsp; Parry <br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.<br><br>Parry Type: Special<br>Longer frames during the parry window and longer recovery time.
Wolf Knight's Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	Greatshield of a knight tainted by the dark of the Abyss, and master of the wolf's blood of Farron.
Iron Round Shield	Dark Souls 3 Wiki	Shields	Small Shields	An orthodox, round small shield made from metal. <br><br>Small shields offer little damage absorption and stability, but they are lightweight and ideal for parrying.<br><br>Skill: Parry<br>Repel an attack at the right time to follow up with a critical hit. Works while equipped in either hand.<br><br>Parry Type : Fast&nbsp;<br>Short frames during the parry window and shorts recovery time.
Stone Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	A mossy stone disc. Though terribly heavy, it can serve as a shield.<br><br>The disc is a relic of ancient magic, and one can practically feel the power flowing through it.<br><br>Skill: Shield Bash<br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.
Pierce Shield	Dark Souls 3 Wiki	Shields	"&nbsp;&nbsp;<a id=""btnCreateBreadcrumb"" title=""Add Breadcrumb"" href=""#"">+"	An unusual style of round shield peculiar to the knights of Catarina. <br><br>The center of the shield features a large, sharpened spike, which is used to skewer opponents. <br><br>Skill: Shield Bash <br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.
Sacred Bloom Shield	Dark Souls 3 Wiki	Shields	Small Shields	A treasured antique of the Way of White, known to some as the Sorcerer's Bane.
Plank Shield	Dark Souls 3 Wiki	Shields	Small Shields	Makeshift shield cobbled together from wooden planks.<br><br>Provides minimal protection, and at the cost of moderate humiliation.<br><br>Skill: Shield Bash<br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.
Lothric Knight Greatshield	Dark Souls 3 Wiki	Shields	Greatshields	Greatshield of the renowned Lothric Knights, decorated with a holy symbol.<br><br>The knights who formed the High Priestess' guard carried greatshields such as these, which were granted high magic absorption through her blessing.<br><br>Skill: Shield Bash<br>Without lowering your guard, strike the enemy with the shield to knock them back or stagger them. Works while equipped in either hand.
