item	site	category	subcategory	description
Repeating Crossbow	Dark Souls 3 Wiki	Weapons	Crossbows	This crossbow, customized for repeat-firing to face mobs alone, was wielded by Slave Knight Gael.
Immolation Tinder	Dark Souls 3 Wiki	Weapons	Halberds	Profaned Flame wielded by the Irithyllian witches, frigid spirits roaming the Boreal Valley.<br><br>This torch, both a weapon and a staff, is enshrouded in an everlasting flame.<br><br>Skill: Punitive Flame<br>Punish foes with a flame that blankets the ground.
Gargoyle Flame Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	Stone torch hammer wielded by gargoyles of the Profaned Capital. <br><br>The Profaned Flame, which never goes out, imbues this weapon with a fire attack.<br><br>Skill: Kindled Fury<br>Anchor weapon in earth and use strong attack to launch successive volleys of fire from the tip of the hammer.&nbsp;
Ledo's Great Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	Great Hammer wielded by the Silver Knight Ledo. Ledo's hammer is by far the heaviest weapon amongst those wielded by the knights of Anor Londo.
Dragon Tooth	Dark Souls 3 Wiki	Weapons	Great Hammers	Created from an everlasting dragon tooth that will never break.<br><br>Left by Havel himself, along with his boulder-like great shield. Grants its wielder resistance to magic and fire.<br><br>Skill: Perserverance<br>Anchor weapon in earth to temporarily boost poise. Damage reduced while activated.
Soldering Iron	Dark Souls 3 Wiki	Weapons	Spears & Pikes	Branding iron used by the jailers prowling Irithyll Dungeon.<br><br>Press its searing tip against foes to inflict fire damage, and temporarily block Estus healing.<br><br>Skill: Charge<br>Hold iron at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
Greataxe	Dark Souls 3 Wiki	Weapons	Greataxes	Greataxe resembling a hunk of raw iron.<br><br>If one posesses the inhuman strength required to lift the weapon, the great heft of its attacks will send foes flying. <br><br>However, since every swing makes use of one's entire body, attacks leave the wielder wide open to retaliation.<br><br>Skill: Warcry<br>Let out a spirited warcry that temporarily boosts attack.
Arstor's Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	One of the curses that festered within the belly of the Greatwood, and a terrible weapon favored by Earl Arstor the Impaler. <br><br>The spear is enwreathed in rotten, heavily poisonous meat. Defeating foes restores HP.<br><br>Skill: Shield Splitter<br><br>Take a large step forward and make a single focused thrust to puncture enemy shields and inflict damage.
Reinforced Club	Dark Souls 3 Wiki	Weapons	Hammers	A club made more deadly by the attachment of numerous nails to its head.&nbsp;&nbsp;<br><br>The nails allow this strike weapon to be lacerating, but the damage caused by their insertion has reduced its durability, making the weapon fragile.&nbsp;&nbsp;<br><br>Skill: Warcry&nbsp;&nbsp;<br>Let out a spirited warcry that temporarily boosts attack, and enables a special consecutive strong attack.
Warden Twinblades	Dark Souls 3 Wiki	Weapons	Curved Swords	Paired weapon wielded by the grave wardens of the Cathedral of the Deep. <br><br>The grave wardens of the cathedral, who put down reincarnating corpses, wield weapons that cause profuse bleeding, for the loss of blood and bodily fluids is said to slow reanimation. <br><br>Skill: Spin Slash <br>Slice into foes with a large spinning motion, and continue spinning to transition into strong attack.
Black Blade	Dark Souls 3 Wiki	Weapons	Katanas	A short katana wielded by the swordsman and distinguished guest of High Lord Wolnir. This shiny black blade is thick, but shorter than the typical katana.<br><br>The swordsman was a master of a rare technique, traces of which can be observed in this weapon's strong attack.<br><br>Skill: Hold<br>Assume a holding stance to rapidly execute a lunging slash with a normal attack, or a deflecting parry with a strong attack.
Gundyr's Halberd	Dark Souls 3 Wiki	Weapons	Halberds	Halberd of Gundyr the Champion, received when he was charged with his duty.<br><br>This old cast-iron halberd has the power to break poise, and is said to never crumble, seeming to suggest that Gundyr was fated to eternal service from the beginning.<br><br>Skill: Champion's Charge<br>Hold spear at waist and charge at foe, and use momentum to transition into sweeping strong attack.&nbsp;<br><br>
Crescent Axe	Dark Souls 3 Wiki	Weapons	Halberds	A crescent-shaped halberd resembling a long-handled battle axe.<br><br>Traditionally wielded by Way of White clerics.<br><br>Skill: Warcry<br>Let out a spirited warcry that temporarily boosts attack.
Four-Pronged Plow	Dark Souls 3 Wiki	Weapons	Spears & Pikes	This four-pronged plow is shaped like a fist, and is a worker's tool in the Undead Settlement.<br><br>Not originally intended for battle, but serves as a deadly weapon owing to its sharp points.<br><br>Skill: Charge<br>Hold spear at waist and charge at foe. Only, it is important to have good footing.&nbsp;
Crucifix of the Mad King	Dark Souls 3 Wiki	Weapons	Halberds	A cross spear hung with a malformed corpse.&nbsp;
Demon's Fist	Dark Souls 3 Wiki	Weapons	Fist & Claws	A demonic fist that burns with fiery essence. Its wielder can release this power through use of its Skill. When two-handed, fists are equipped in each hand.<br><br>Skill: Flame Whirlwind<br>Spin through opponents with abandon, flaming fists outstretched. Using a strong attack while spinning utilizes your momentum to slam the ground with both fists.<br><br><br><br>
Winged Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	A long-hilted spear with winged lugs. Long reach, and can be used with shield up. Spear attacks are centered on thrusting, but can inflict high damage when timed with the end of an enemy's swing.<br><br>Skill: Charge<br>Hold spear at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
Painting Guardian's Curved Sword	Dark Souls 3 Wiki	Weapons	Curved Swords	A weapon described in legends passed down amongst heretics, wielded by the Painting Guardians.<br><br>A uniquely shaped weapon with a flat tip.<br><br>Skill: Chained Dance<br>Execute relentless consecutive attacks while tracing a circle in a unique dance of deadly grace. <br><br>
Earth Seeker	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	<em>This large twin-bladed axe forged with bronze is a ceremonial weapon normally used in sacred rites. </em><br><br><em>Millwood is a land of primitive earth worship where chieftain knights served as high priests. </em><br><br><br><em>Skill: Earthen Wrath</em>
Tailbone Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	Twisted spear favored by the wretched, failed prisoners of Irithyll Dungeon.<br><br>Crafted from a feeble tailbone, and seen as a sign of the dragons. Their screams are oft heard inside the dungeon, as they naively mutilate their unworthy flesh.<br><br>Skill: Unleash Dragon<br>Thrust the spear to unleash the strength of dragons, similar to an ancient dragon weapon, only with its power tragically faded.
Great Mace	Dark Souls 3 Wiki	Weapons	Great Hammers	Large mace wielded by the knights of the Cathedral of the Deep. <br><br>The extremely heavy strike attacks of this weapon are devastating and will break weaker shields with a single blow. Wielding such a weapon will require inhuman strength. <br><br>Skill: Perseverance <br>Anchor weapon in earth to temporarily boost poise. Damage reduced while activated.
Rotten Ghru Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	A crude, half-rotten curved spear.<br><br>Choice weapon of the blunt-horned Ghrus, descendants of the acolytes of Farron Keep.<br><br>The rancid tip is drenched in rotten waste, making it acutely poisonous.<br><br>Skill: Charge<br>Hold spear at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
Dragonslayer Spear	Dark Souls 3 Wiki	Weapons	Spears & Pikes	Cross spear associated with Ornstein the Dragonslayer. A weapon of the gods imbued with the strength of lightning.<br><br>Two-handed thrust utilizes the support of the cross and requires great might, but can pierce deep into the flesh of dragons, and send mere men flying.<br><br>Skill: Lightning Charge<br>Charge with spear at waist to enwreathe with lightning, then release bolts with final thrust.&nbsp;
Astora Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	This greatsword, bestowed only upon elite knights, is a relic of the ruined land of Astora. <br><br>Designed for a focus on thrust attacks, this sword is hard and sharp, but not unusually heavy. <br><br>Skill: Charge <br>Hold sword at waist and charge at foe. Use strong attack while charging to extend the length of the charge.
Sacred Chime of Filianore	Dark Souls 3 Wiki	Weapons	Sacred Chimes	A sacred chime blessed by Princess Filianore, matriarch of the church.
Follower Sabre	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	Great curved sword wielded by Farron Followers. Its great weight enables heavy-handed chain attacks.
Vordt's Great Hammer	Dark Souls 3 Wiki	Weapons	Great Hammers	Great Hammer wielded by Vordt, the outrider knight of the Boreal Valley. Weapon is inbued with frost, and causes frostbite.<br><br>Frost accumulates in the body causing frostbite, which saps one's health, lowers absorption, and slows stamina recovery.<br><br>Skill: Perseverance<br>Anchor weapon in earth to temporarily boost poise. Damage reduced while activated.
Sorcerer's Staff	Dark Souls 3 Wiki	Weapons	Staves	Staff used to cast sorceries. A common catalyst given to sorcerers of the Vinheim Dragon School.<br><br>Equip a catalyst to use sorceries. Sorceries must be tuned at a bonfire before use.<br><br>Skill: Steady Chant<br>Boost the strength of sorceries for a very short period. Works while equipped in either hand.<br><br>
Great Corvian Scythe	Dark Souls 3 Wiki	Weapons	Reapers	Great scythe of the forlorn souls guided&nbsp;by heretical storytellers. The Mistress of the Painted World is said to wield a great scythe herself. Great scythes inflict profuse bleeding, such that the blood splatters on the wielder.<br><br>Skill: Neck Swipe<br>This attack aims for the scruff of a foe's neck, and when successful, functions as a head shot, inflicting heavy damage.
Cathedral Knight Greatsword	Dark Souls 3 Wiki	Weapons	Ultra Greatswords	Ultra greatsword wielded by the knights of the Cathedral of the Deep.
Pyromancer's Parting Flame	Dark Souls 3 Wiki	Weapons	Ashes of Ariandel Weapons	The pyromancy flame of Livid Pyromancer Dunnel that attracts the echoes of&nbsp; death.
Shortsword	Dark Souls 3 Wiki	Weapons	Straight Swords	Small straight sword excelling in thrusting attacks.
Man-Grub's Staff	Dark Souls 3 Wiki	Weapons	Staves	Staff of the man-grubs who guard Rosaria’s Bed Chamber. Their holy symbol is formed at the tip. Wielder’s luck strengthens effects of sorceries.<br><br>The man-grubs have clearly been reborn, but as what?<br><br>Skill: Steady Chant<br>Boost the strength of sorceries for a very short period. Works while equipped in either hand.
Lucerne	Dark Souls 3 Wiki	Weapons	Halberds	A polearm with a sharp, hard pronged head that inflicts thrust attacks.<br><br>The Lucerne is wielded overhand like a hammer, or can be swung from the side to break through shields.<br><br>Skill: Spin Sweep<br>Sweep foes in a large spinning motion, and utilize momentum to transition into an overhanded strong attack smash.
Manikin Claws	Dark Souls 3 Wiki	Weapons	Fist & Claws	Weapon of the Pale Shades, assassins of the Sable Church of Londor.&nbsp;The curved claws cause heavy bleeding.<br><br>When two handed, claws are equipped to each hand.<br><br>Skill: Quickstep<br>Instantly step behind or around the side of foes. Especially effective when locked on to target.
Farron Greatsword	Dark Souls 3 Wiki	Soul Transposition	Boss Soul Weapons	Greatsword of the Abyss&nbsp;watchers&nbsp;which is atypically paired with a dagger.<br><br>The dagger&nbsp;is utilized as a wedge in the left hand while the greatsword is held in the right, a unique technique that was synonymous with the Undead&nbsp;Legion. Confounds foes the manner of wolves hunting prey.&nbsp;<br><br>Skill:&nbsp;Parry<br>Deflect an attack when timed properly and follow up with a critical hit, executed with the dagger.
