item	site	category	subcategory	description
Canvas Talisman	Dark Souls Wiki	Weapons	Talismans	"Medium for casting miracles of the Gods. Canvas Talisman is for clerics on a pilgrimage. <br> Equip talisman to cast miracles. Attune miracles from a scroll at a bonfire. Most miracles have limited number of uses."""
Greataxe	Dark Souls Wiki	Weapons	Great Axes	"This greataxe is a veritable mass of iron. Its weight sends foes flying, but makes it difficult to handle without inhuman strength."" <br> ""Any miss makes one very vulnerable, as each swing requires the full force of the body."""
Pyromancy Flame	Dark Souls Wiki	Weapons	Flames	"<em>Flame medium used by Great Swamp pyromancers. Pyromancers arouse this flame to produce various fire arts.</em> <em>Equip pyromancer flame to produce pyromancy. Attune pyromancies from a scroll at bonfire.</em> <em>Most pyromancies have limited number of uses.""</em> <br> <em><strong>After upgrading:</strong></em> <em>""Pyromancy flame drawing upon the latent power of Quelana of Izalith, mother of pyromancy.</em> <em>For the pyromancer, a flame is a precious thing indeed, to be nurtured, often for an entire lifetime. When the flame is shared, it creates an eternal bond between the parties.""</em>"
Black Knight Halberd	Dark Souls Wiki	Weapons	Halberds	Halberd of the black knights who wander<br>Lordran. Used to face chaos demons.
Ghost Blade	Dark Souls Wiki	Weapons	Daggers	"The ghosts of New Londo clutch this wickedly sharp dagger with their bony hands and make mincemeat of the living.""<br> ""One of the cursed weapons which can inflict damage upon ghosts."""
Golem Axe	Dark Souls Wiki	Weapons	Axes	"An axe born from the soul of the Iron Golem, guardian of Sen's Fortress who repelled countless heroes who sought Anor Londo."" <br>""Its powerful one-handed attack imitates the Golem's blade of wind, but the heavy iron blade makes it quite unwieldy."""
Mace	Dark Souls Wiki	Weapons	Hammers	"Iron hammer with a protrusive pommel.<br>This simple bladeless strike weapon is effective against most foes, and can break the guard of a shield. However, one miss leaves one wide open."""
Abyss Greatsword	Dark Souls Wiki	Weapons	Greatswords	"This greatsword belonged to Lord Gwyn's Knight Artorias, who fell to the Abyss.<br> Swallowed by the Dark with its master, this sword is tainted by the Abyss, and now its strength reflects its wielder's humanity."""
Spear	Dark Souls Wiki	Weapons	Spears	"<em>Standard spear used commonly by soldiers. Long reach, and can be used with shield up. Effective against hard exteriors, and hits for high damage at the right moment of an enemy's swing. But the hit radius is small, and it is easily blocked by shields.""</em>"
Sunlight Straight Sword	Dark Souls Wiki	Weapons	Straight Swords	"This standard longsword, belonging to Solaire of Astora, is of high quality, is well-forged, and has been kept in good repair. Easy to use and dependable, but unlikely to live up to its grandiose name."""
Gargoyle's Halberd	Dark Souls Wiki	Weapons	Halberds	"<em>Halberd of the gargoyle guarding the Bell of Awakening in the Undead Church.""</em> <br> <em>""Perfectly standard bronze halberd without any special power.""</em>"
Jagged Ghost Blade	Dark Souls Wiki	Weapons	Curved Swords	"<em>Jagged blade wielded by New Londo ghosts. Violent thrust attack.""</em><br><em> ""One of the cursed weapons. Inflicts damage to ghosts.""</em>"
Washing Pole	Dark Souls Wiki	Weapons	Katanas	"<em>Katana forged in an Eastern land. Very unusual specimen with a long blade. Has a different move set than the Uchigatana. The blade is extremely long, but as a result, quite easily broken.""</em>"
Grant	Dark Souls Wiki	Weapons	Great Hammers	"A legendary weapon of the Way of White, granted to an Undead paladin long ago. <br>This mass of iron can only be lifted by those with inhuman strength, but it is blessed, and very effective against agents of Dark."""
Partizan	Dark Souls Wiki	Weapons	Spears	"Spear with blade attached to a broad point. Boasts long reach, can slice."" <br>""The wide range of this spear makes it adaptable to many situations. Its strength lies in its length, but in cramped quarters, this backfires, and slices ricochet off walls."""
Notched Whip	Dark Souls Wiki	Weapons	Whips	"Notched Whip with sharp spikes."" <br> ""Only slightly effective against armor and tough scales, but quite formidable against enemies with exposed skin. Also causes heavy bleeding."""
Bandit's Knife	Dark Souls Wiki	Weapons	Daggers	"""This wide single-edged shortsword is the favorite of lowly thieves and bandits.""<br>""Primarily a slicing weapon, but highly effective when used for critical hits, such as after parrying or from behind."""
Demon's Greataxe	Dark Souls Wiki	Weapons	Great Axes	"<em>Carved from the bones of fellow demons. Wielded by the lesser Taurus demons.""</em><br> <em>""This axe is imbued with no special power, but can merrily beat foes to a pulp, providing you have the strength to wield it.""</em>"
Estoc	Dark Souls Wiki	Weapons	Piercing Swords	"The largest of the thrusting swords. Can pierce an armored knight in one thrust.""<br>""The blade is also sharp, allowing slicing as well."""
Drake Sword	Dark Souls Wiki	Weapons	Straight Swords	"This sword, one of the rare dragon weapons, is formed by a drake's tail. Drakes are seen as undeveloped imitators of the dragons, but they are likely their distant kin.""<br> ""The sword is imbued with a mystical power, to be released when held with both hands.""<em><br></em>"
Straight Sword Hilt	Dark Souls Wiki	Weapons	Straight Swords	"<em>The hilt of this lost sword was found discarded in the Undead Asylum.""</em><br> <em>""Only slightly better than one's bare hands, and not recommended for extensive use. Be certain to find a replacement quickly.""<br></em>"
Barbed Straight Sword	Dark Souls Wiki	Weapons	Straight Swords	"""The choice weapon of the infamous Darkwraith Kirk, also known as the Knight of Thorns for the gnarly spikes on his favorite weapon.""<br>""This frightful sword deals only thrust attacks, and causes heavy bleeding."""
Pickaxe	Dark Souls Wiki	Weapons	Hammers	"Traditionally a mining tool, but the hard cone on the pommel is effective in battle."" <br>""A downward swing of the Pickaxe can crush stone; a human head would be an afterthought"""
Great Club	Dark Souls Wiki	Weapons	Great Hammers	"<em>Giant tree branch serves as a wooden club. Smashes enemies from upside the head.""</em> <br> <em>""The leaping attack is a trademark of clubs, and this giant club is no exception.""</em>"
Claws	Dark Souls Wiki	Weapons	Fist Weapons	<em>A weapon formed by three sharped claws.</em> <br> <em>Attacks cause bleeding, and the wounds inflicted are not easily mended. Preferred weapon of the spooks of an Eastern land.</em>
Giant's Halberd	Dark Souls Wiki	Weapons	Halberds	"Large halberd made of old brass, used by the giant sentinels of Anor Londo."" <br> ""Brass contains traces of lightning, but as the halberd is designed for the giant sentinels, its weight is unbearable."""
Stone Greatsword	Dark Souls Wiki	Weapons	Greatswords	"The Stone Knights who guard the Darkroot Garden wield this moss-covered greatsword.""<br> ""The same magic which created the Stone Knights is imbued in the sword. Unleash this power by wielding the sword with two hands."""
Balder Side Sword	Dark Souls Wiki	Weapons	Straight Swords	"The knights of the ancient kingdom of Balder wielded these rock-solid, long swords which are excellent for thrust attacks.""<br> ""Balder was the home of Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead."""
Demon Great Machete	Dark Souls Wiki	Weapons	Ultra Greatswords	"The lesser Capra demons use these greatswords in pairs. The blade is cast iron and hooked.""<br> ""The sword is imbued with no particular magic, but for those who have the strength, its great weight will smash foes mercilessly."""
Dragon Greatsword	Dark Souls Wiki	Weapons	Ultra Greatswords	"This sword, one of the rare dragon weapons, came from the tail of the stone dragon of Ash Lake, descendant of the ancient dragons.""<br> ""Its great mystical power will be unleashed when wielded with two hands."""
Lucerne	Dark Souls Wiki	Weapons	Halberds	"Halberd with a large, hard beak-like protrusion. Inflicts thrust damage. <br>Instead of thrusting like a spear, the wielder of the Lucerne aims to club the head with its hard beak."""
Painting Guardian Sword	Dark Souls Wiki	Weapons	Curved Swords	"Curved sword of Anor Londo painting guards. Unique shape with flat tip.""<br>""The guardians, who strike down those who dare threaten the paintings, attack in a continuous, circular dancing motion, a technique passed down through generations.""<em><br></em>"
Black Bow of Pharis	Dark Souls Wiki	Weapons	Bows	"<em>The preferred black bow of the heroic archer Pharis.</em> <br> <em>Has a longer range than standard bows, but is more difficult to use. Without proper abilities, results will be underwhelming.""</em>"
Greatsword of Artorias	Dark Souls Wiki	Weapons	Greatswords	"<em>Sword born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias.""<br> <em>""Sir Artorias hunted the Darkwraiths, and his sword strikes harder against dark servants.""</em></em>"
Black Knight Greataxe	Dark Souls Wiki	Weapons	Great Axes	"Greataxe of the Black Knights who wander Lordran. Used to face Chaos demons.""&nbsp;<br> ""The large motion that puts the weight of the body into the attack reflects the great size of their adversaries long ago."""
Logan's Catalyst	Dark Souls Wiki	Weapons	Catalysts	"Catalyst of Big Hat Logan, the great sorcerer and seeker of knowledge. Originally the same catalyst employed by the Vinheim sorcerers, only terribly strengthened over time due to Logan's use. Very powerful when used by one of superior intelligence."""
Silver Knight Spear	Dark Souls Wiki	Weapons	Spears	"The silver knights of Anor Londo guard the city using this beautifully slender weapon. <br> The spear can be wielded by both hands in a focused thrust that uses one's body weight, or swung in a large sweeping motion."""
Chaos Blade	Dark Souls Wiki	Weapons	Katanas	"<em>A curved sword born from the soul of Quelaag, daughter of the Witch of Izalith, who was transformed into a chaos demon.&nbsp;</em><em>This blade inherits only the chaotic nature of Quelaag, and has a unique speckled design. Blade wielder erodes along with opponents.""</em>"
Ricard's Rapier	Dark Souls Wiki	Weapons	Piercing Swords	"<em>A rapier with intricate decorations. Chosen weapon of the famous Undead Prince Ricard. Ricard's exploits are told in a monomyth.""</em><br> <em>""He was born into royalty, but wandered the lands in a fateful ill-conceived journey. He became Undead and disappeared up North.""<br></em>"
Velka's Rapier	Dark Souls Wiki	Weapons	Piercing Swords	"<em>A symbolic, powerful thrusting sword used by the Pardoner serving Velka, Goddess of Sin.""</em><br> <em>""It is no mere symbol to be sure; the Pardoner is an inhuman swordsman, and wields this enchanted blade with special sword technique.""<br></em>"
Obsidian Greatsword	Dark Souls Wiki	Weapons	Greatswords	"This greataxe, one of the rare dragon weapons, is formed by the tail of the one-eyed black dragon Kalameet, the last of the ancient dragons. The mystical power of its obsidian blade will be released when held with both hands."""
Guardian Tail	Dark Souls Wiki	Weapons	Whips	"<em>Sliced tail of the Sanctuary Guardian.""</em> <br> <em>""This flexible, spiked and highly poisonous tail would make a rather obnoxious weapon.""</em>"
Darksword	Dark Souls Wiki	Weapons	Straight Swords	"The sword of the knights of the Four Kings of New Londo. Its blade is wide and thick and it is wielded in an unusual manner.""<br>""When the Four Kings were seduced by evil, their knights became Darkwraiths, servants of the Dark who wielded these darkswords."""
Zweihander	Dark Souls Wiki	Weapons	Ultra Greatswords	"One of the gigantic straight greatswords. As the name suggests, the Zweihander is held with two hands, but its wielder must still be inhumanly strong.""<br> ""It is this great weight that sends foes flying when hit solidly.""<br><br>"
Crescent Axe	Dark Souls Wiki	Weapons	Axes	"Well-used old bronze battle axe with a long hilt and a crescent-shaped blade."" <br> ""One of the blessed weapons of the Way of White. The Crescent Axe is bequeathed to cleric warriors who have proven their faith."""
Ivory Talisman	Dark Souls Wiki	Weapons	Talismans	"<em>Medium for casting miracles of the Gods.</em> <br> <em>Ivory Talismans are granted only to female clerics and their value is affected dramatically by their owner's faith.""</em>"
Crystal Straight Sword	Dark Souls Wiki	Weapons	Straight Swords	"<em>A fully crystallized straight sword. How such a weapon was created is entirely unknown.""</em><br> <em>""The crystallization boosts its attack, but makes the blade brittle. The sword cannot be used for long, as it cannot be repaired.""<br></em>"
Winged Spear	Dark Souls Wiki	Weapons	Spears	"<em>A long-hilted spear with a barbed point. Long reach, and can be used with shield up. Effective against hard exteriors, and hits for high damage at the right moment of an enemy's swing. But the hit radius is small, and it is easily blocked by shields.""</em>"
Dark Hand	Dark Souls Wiki	Weapons	Fist Weapons	"<em>The Darkwraiths, incited by Kaathe, use the power of the dark soul to absorb humanity, an art shared by this weapon, which also acts as a special shield. The ancients, particularly, could sap the humanity of even a replete saint in the blink of an eye.""</em>"
Dagger	Dark Souls Wiki	Weapons	Daggers	"This standard small dagger has only a modest attack but can be jabbed in rapid succession, and is effective in critical hits such as after a parry or when stabbing in the back.""<br> ""With both slash and thrust attacks this dagger is useful in various situations."""
Broken Straight Sword	Dark Souls Wiki	Weapons	Straight Swords	"<em>Half of the blade of this straight sword is broken off.<br>Only the completely Hollowed would even consider using this as a weapon</em><em>.""</em>"
Butcher Knife	Dark Souls Wiki	Weapons	Axes	"<em>Giant butcher knife wielded by the Undead man-eating cook lurking in the Depths. More of a tool for subduing and preparing live catches than an actual weapon.&nbsp;</em><em>Those who have faced this deadly blade have a deeper sense of how helpless prey must feel.""</em>"
Beatrice's Catalyst	Dark Souls Wiki	Weapons	Catalysts	"Catalyst belonging to Beatrice, the rogue witch. Contrasts with Vinheim catalysts. This ancient catalyst shows signs of being used for age-old sorceries. It has passed the hands of many generations to get here."""
Gold Tracer	Dark Souls Wiki	Weapons	Curved Swords	"Curved sword used by the Lord's Blade Ciaran, one of Gwyn's Four Knights.<br> Ciaran brandishes her sword in a mesmerizing dance, etching the darkness with dire streaks of gold.""<br><br>"
Uchigatana	Dark Souls Wiki	Weapons	Katanas	"Katana forged in an Eastern land. Known for its brisk slashing motions.""<br> ""The Uchigatana cuts beautifully and causes bleeding, but its blade is easily nicked.""<em><br></em>"
Server	Dark Souls Wiki	Weapons	Curved Greatswords	"A curved greatsword used in a mysterious ancient rite.<br> Imbued with a frightful occult energy which restores HP with each hit.""<br>&nbsp;"
Butcher Knife	Dark Souls Wiki	Weapons	Axes	"<em>Giant butcher knife wielded by the Undead man-eating cook lurking in the Depths. More of a tool for subduing and preparing live catches than an actual weapon.&nbsp;</em><em>Those who have faced this deadly blade have a deeper sense of how helpless prey must feel.""</em>"
Velka's Rapier	Dark Souls Wiki	Weapons	Piercing Swords	"<em>A symbolic, powerful thrusting sword used by the Pardoner serving Velka, Goddess of Sin.""</em><br> <em>""It is no mere symbol to be sure; the Pardoner is an inhuman swordsman, and wields this enchanted blade with special sword technique.""<br></em>"
Shotel	Dark Souls Wiki	Weapons	Curved Swords	"Curved sword with sharply curved blade.""<br>""Created by Arstor, Earl of Carim. Requires great skill to wield, but evades shield defense to sneak in damage."""
Thorolund Talisman	Dark Souls Wiki	Weapons	Talismans	<em>Medium for casting miracles of the Gods. This talisman is only granted to high-ranking Thorolund clerics.</em> <br> <em>Has high miracle adjustment which, thanks to divine protection, is not dependent upon faith.</em>
Demon's Great Hammer	Dark Souls Wiki	Weapons	Great Hammers	"Demon weapon built from the stone archtrees. Used by lesser demons at North Undead Asylum.<br> This hammer is imbued with no special power, but will merrily beat foes to a pulp, provided you have the strength to wield it."""
Lifehunt Scythe	Dark Souls Wiki	Weapons	Halberds	"&nbsp;<em>Scythe born from the soul of Priscilla, the stark white crossbreed trapped inside the painted world of Ariamis.</em> <br> <em>Even the Gods feared Priscilla's lifehunt ability, and in the hands of a mortal, its power will turn upon its wielder.""</em>"
